年份,科学研究与开发机构数,中央属科学研究与开发机构数,地方属科学研究与开发机构数,科研和开发机构科技活动人员,科研和开发机构的科学家和工程师人员,科研和开发机构研究与试验发展人员,科研和开发机构研究与试验发展折合全时人员,科研和开发机构研究与试验发展折合全时科学家和工程师人员,基础研究科研和开发机构研究与试验发展折合全时人员,应用研究科研和开发机构研究与试验发展折合全时人员,试验发展科研和开发机构研究与试验发展折合全时人员,科研和开发机构研究与试验发展经费支出,科研和开发机构基础研究经费支出,科研和开发机构应用研究经费支出,科研和开发机构试验发展经费支出,科研和开发机构研究与试验发展政府资金经费支出,科研和开发机构研究与试验发展企业资金经费支出,科研和开发机构的科技经费筹集额,科研和开发机构来源于政府的科技经费筹集额,科研和开发机构来源于企业的科技经费筹集额,科研和开发机构来源于金融机构贷款的科技经费筹集额,科研和开发机构的科技经费内部支出,科研和开发机构的科技经费用于劳务费内部支出,科研和开发机构的科技经费用于业务费的内部支出,科研和开发机构的科技经费用于固定资产构建费内部支出,科学研究与开发机构研究与试验发展项目(课题)数,科学研究与开发机构研究与试验发展项目(课题)人员全时当量,科学研究与开发机构研究与试验发展项目(课题)经费支出,科研和开发机构发表科技论文数量,科学研究与开发机构发表科技论文中国外发表数,科学研究与开发机构出版科技著作,科研和开发机构专利申请受理数,科研和开发机构发明专利申请受理数,科研和开发机构专利申请授权数,科研和开发机构发明专利申请授权数
2019,3217,726,2491,,,48.5322,42.464,,9.2129,14.8348,18.4163,3080.82958,510.31006,933.6308,1636.88872,2582.40464,118.65934,,,,,,,,,125642,37.75713,2119.48827,185978,68776,5469,67302,52185,38476,24486
2018,3306,717,2589,,,46.4292,41.2998,,8.5049,14.7455,18.0494,2691.68239,423.10266,792.10677,1476.47296,2285.00755,102.63541,,,,,,,,,117871,36.78824,1925.3978,176003,58440,5722,61404,47740,36778,23098
2017,3547,728,2819,,,46.2213,40.5711,,8.4427,14.2911,17.8373,2435.69804,384.39166,699.41741,1351.88897,2025.90921,91.85386,,,,,,,,,112472,35.94109,1720.77319,177572,54500,5459,56267,43426,35350,24283
2016,3611,734,2877,,,44.9916,39.011,,8.3784,12.712,17.9206,2260.17613,337.39975,642.05905,1280.71733,1851.60011,90.43706,,,,,,,,,100925,34.36236,1592.53676,175169,50010,5714,52331,39854,32442,21816
2015,3650,715,2935,,,43.6284,38.3597,,7.117,13.1362,18.1065,2136.48649,295.28656,618.35498,1222.84496,1802.69301,65.35884,,,,,,,,,99559,34.86986,1513.78699,169989,47301,5662,46559,35092,30104,19720
2014,3677,720,2957,,,42.3,37.4,,6.6,12.8,18.0,1926.2,258.9,552.9,1114.4,1581.0,62.9,,,,,,,,,91465,33.9874,1272.69,171928,47032,5023,41966,32265,24870,15786
2013,3651,711,2940,,,40.9032,36.3691,,6.0852,12.9684,17.3155,1781.3972,221.58841,525.83604,1033.97275,1481.22768,60.94931,,,,,,,,,85069,32.74663,1221.66457,164440,41072,4619,37040,28628,20095,12542
2012,3674,710,2964,,,38.8241,34.3978,,5.6958,12.1261,16.5487,1548.9328,197.9114,469.2682,881.70487,1292.7057,47.4115,,,,,,,,,79343,31.0685,1078.2765,158647,35173,4458,30418,23406,16551,10935
2011,3673,686,2987,,,36.214,31.5679,,4.9863,11.3,15.1725,1306.7417,160.15146,417.2387,729.316,1106.115,39.8776,,,,,,,,,70967,27.3374,807.0514,148039,31598,4292,24059,18227,12126,7862
2010,3696,686,3010,,,34.2,29.3,,4.2,10.9,14.2,1186.4,129.9,387.6,668.9,1036.5,34.2,,,,,,,,,67050,25.4,681.4874,140818,26862,3922,19192,14979,8698,5249
2009,3707,691,3016,,,32.3,27.7,,4.1,10.3,13.4,996.0,110.6,350.9,534.4,849.5,29.8,,,,,,,,,61135,23.7304,579.8282,138119,25882,4788,15773,12361,6391,4077
2008,3727,678,3049,48.8,37.3,30.4,26.0,20.4,3.8,9.7,12.5,811.3,92.7,271.3,447.2,699.7,28.2,1396.9,1156.6,41.6,4.7,1239.9,238.2,716.7,285.0,54900,22.9075,537.7461,132072,21498,4691,12536,9864,5048,3102
2007,3775,674,3101,47.8,35.6,29.0,25.5,19.8,3.6,9.3,12.6,687.9,74.7,227.1,386.1,592.9,26.2,1264.4,1041.7,54.3,10.2,1095.0,212.7,641.9,240.4,49453,22.1896,451.7424,126527,19596,4134,9802,7782,4036,2467
