年份,规模以上工业企业发明专利申请数,规模以上煤炭开采和洗选业工业企业发明专利申请数,规模以上石油和天然气开采业工业企业发明专利申请数,规模以上黑色金属矿采选业工业企业发明专利申请数,规模以上有色金属矿采选业工业企业发明专利申请数,规模以上非金属矿采选业工业企业发明专利申请数,规模以上农副食品加工业企业发明专利申请数,规模以上食品制造业工业企业发明专利申请数,规模以上饮料制造业工业企业发明专利申请数,规模以上烟草制品业工业企业发明专利申请数,规模以上纺织业工业企业发明专利申请数,规模以上纺织服装、鞋、帽制造业工业企业发明专利申请数,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业发明专利申请数,规模以上木材加工及木、竹、藤、棕、草制品业工业企业发明专利申请数,规模以上家具制造业工业企业发明专利申请数,规模以上造纸及纸制品业工业企业发明专利申请数,规模以上印刷业和记录媒介的复制工业企业发明专利申请数,规模以上文教体育用品制造业工业企业发明专利申请数,规模以上石油加工、炼焦及核燃料加工业企业发明专利申请数,规模以上化学原料及化学制品制造业工业企业发明专利申请数,规模以上医药制造业工业企业发明专利申请数,规模以上化学纤维制造业工业企业发明专利申请数,规模以上橡胶制品业工业企业发明专利申请数,规模以上塑料制品业工业企业发明专利申请数,规模以上非金属矿物制品业工业企业发明专利申请数,规模以上黑色金属冶炼及压延加工业企业发明专利申请数,规模以上有色金属冶炼及压延加工业企业发明专利申请数,规模以上金属制品业工业企业发明专利申请数,规模以上通用设备制造业工业企业发明专利申请数,规模以上专用设备制造业工业企业发明专利申请数,规模以上交通运输设备制造业工业企业发明专利申请数,规模以上电气机械及器材制造业工业企业发明专利申请数,规模以上通信设备、计算机及其他电子设备制造业工业企业发明专利申请数,规模以上仪器仪表及文化、办公用机械制造业工业企业发明专利申请数,规模以上工艺品及其他制造业工业企业发明专利申请数,规模以上电力、热力的生产和供应业工业企业发明专利申请数,规模以上燃气生产和供应业工业企业发明专利申请数,规模以上水的生产和供应业工业企业发明专利申请数
2019,398802,926,1884,326,288,181,3710,3647,,1887,4480,,,1144,1738,1880,1780,,1187,19338,11883,1095,,,10147,6912,5239,11308,28030,31043,,51867,120512,,,13313,231,375
2018,371569,1006,1760,280,200,233,4497,4071,,1991,4881,,,1338,1644,1922,1906,,1263,20910,11494,1149,,,10105,5883,4881,11177,24789,28610,,54776,100216,,,11742,164,251
2017,320626,821,1332,229,168,198,4378,3781,,1455,3705,,,1026,1386,1487,1249,,1198,19968,10886,759,,,8126,6371,4798,8619,20065,24089,,49526,83246,,,9576,115,155
2016,286987,680,1136,379,184,215,4552,3075,,1395,3804,,,992,1618,1665,1096,,940,19193,10483,861,,,6332,5791,4322,7868,19847,20975,,41383,70883,,,9320,70,121
2015,245688,630,1149,411,169,221,4072,2677,,1188,3619,,,789,1225,1403,989,,974,16300,10019,875,,,5200,6090,3962,6819,16744,18196,,30914,60533,,,9442,68,102
2014,239925,597,864,365,108,226,3632,2752,,919,2697,,,660,800,1478,852,,1051,16940,12620,937,,,5659,6337,3814,5791,15723,17889,,31336,58088,,,8771,45,125
2013,205146,708,888,255,85,179,3090,2147,,965,2220,,,687,593,1122,882,,814,14883,10475,1090,,,4932,5767,3464,5152,14292,17528,,25283,50516,,,6742,22,102
2012,176167,716,629,273,79,121,2398,1809,,550,1998,,,526,387,963,604,,796,12268,9050,801,,,3798,4644,3250,4578,11691,13711,,24697,46623,,,4440,34,81
2011,134843,505,698,162,88,70,1689,1512,600.0,381,1854,345.0,214.0,541,303,619,365,555.0,632,9417,6968,560,849.0,2055.0,2715,2911,2456,2575,8637,10300,9267.0,16667,40980,4319.0,612.0,2256,8,111
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,92450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,59254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,20456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
