年份,实现产品创新的企业所占比重,实现产品创新的采矿业企业占规模以上工业企业的比重,实现产品创新的煤炭开采和洗选业企业占规模以上工业企业的比重,实现产品创新的石油和天然气开采业企业占规模以上工业企业的比重,实现产品创新的黑色金属矿采选业企业占规模以上工业企业的比重,实现产品创新的有色金属矿采选业企业占规模以上工业企业的比重,实现产品创新的非金属矿采选业企业占规模以上工业企业的比重,实现产品创新的开采专业及辅助性活动企业占规模以上工业企业的比重,实现产品创新的其他采矿业企业占规模以上工业企业的比重,实现产品创新的制造业企业占规模以上工业企业的比重,实现产品创新的农副食品加工业企业占规模以上工业企业的比重,实现产品创新的食品制造业企业占规模以上工业企业的比重,实现产品创新的酒、饮料和精制茶制造业企业占规模以上工业企业的比重,实现产品创新的烟草制品业企业占规模以上工业企业的比重,实现产品创新的纺织业企业占规模以上工业企业的比重,实现产品创新的纺织服装、服饰业企业占规模以上工业企业的比重,实现产品创新的皮革、毛皮、羽毛及其制品和制鞋业企业占规模以上工业企业的比重,实现产品创新的木材加工和木、竹、藤、棕、草制品业企业占规模以上工业企业的比重,实现产品创新的家具制造业企业占规模以上工业企业的比重,实现产品创新的造纸和纸制品业企业占规模以上工业企业的比重,实现产品创新的印刷和记录媒介复制业企业占规模以上工业企业的比重,实现产品创新的文教、工美、体育和娱乐用品制造业企业占规模以上工业企业的比重,实现产品创新的石油加工、炼焦和核燃料加工业企业占规模以上工业企业的比重,实现产品创新的化学原料和化学制品制造业企业占规模以上工业企业的比重,实现产品创新的医药制造业企业占规模以上工业企业的比重,实现产品创新的化学纤维制造业企业占规模以上工业企业的比重,实现产品创新的橡胶和塑料制品业企业占规模以上工业企业的比重,实现产品创新的非金属矿物制品业企业占规模以上工业企业的比重,实现产品创新的黑色金属冶炼和压延加工业企业占规模以上工业企业的比重,实现产品创新的有色金属冶炼和压延加工业企业占规模以上工业企业的比重,实现产品创新的金属制品业企业占规模以上工业企业的比重,实现产品创新的通用设备制造业企业占规模以上工业企业的比重,实现产品创新的专用设备制造业企业占规模以上工业企业的比重,实现产品创新的汽车制造业企业占规模以上工业企业的比重,实现产品创新的铁路、船舶、航空航天和其他运输设备制造业企业占规模以上工业企业的比重,实现产品创新的电气机械和器材制造业企业占规模以上工业企业的比重,实现产品创新的计算机、通信和其他电子设备制造业企业占规模以上工业企业的比重,实现产品创新的仪器仪表制造业企业占规模以上工业企业的比重,实现产品创新的其他制造业企业占规模以上工业企业的比重,实现产品创新的废弃资源综合利用业企业占规模以上工业企业的比重,实现产品创新的金属制品、机械和设备修理业企业占规模以上工业企业的比重,实现产品创新的电力、热力、燃气及水生产和供应业企业占规模以上工业企业的比重,实现产品创新的电力、热力生产和供应业企业占规模以上工业企业的比重,实现产品创新的燃气生产和供应业企业占规模以上工业企业的比重,实现产品创新的水的生产和供应业企业占规模以上工业企业的比重
2019,31.743,4.037,2.258,10.084,2.752,5.519,5.736,8.594,,33.674,19.308,32.316,24.832,43.925,25.774,17.555,26.809,14.005,27.503,23.609,25.498,31.565,17.659,34.706,43.296,36.61,32.739,17.939,21.044,30.553,30.396,46.506,50.037,45.023,43.027,50.641,56.848,63.111,34.622,14.84,20.996,2.585,2.357,2.549,3.47
2018,28.786,3.786,2.502,10.619,2.669,4.189,5.104,10.891,8.333,30.39,17.182,27.884,22.441,45.37,22.778,16.238,22.68,13.212,22.193,20.742,21.943,27.488,17.394,32.699,40.893,34.811,28.965,16.134,20.53,27.789,27.239,41.805,45.246,41.817,40.32,47.471,53.473,59.157,29.816,12.119,20.207,2.879,2.659,2.616,3.982
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
