年份,有产品或工艺创新活动的企业占规模以上工业企业的比重,有产品或工艺创新活动的采矿业企业占规模以上工业企业的比重,有产品或工艺创新活动的煤炭开采和洗选业企业占规模以上工业企业的比重,有产品或工艺创新活动的石油和天然气开采业企业占规模以上工业企业的比重,有产品或工艺创新活动的黑色金属矿采选业企业占规模以上工业企业的比重,有产品或工艺创新活动的有色金属矿采选业企业占规模以上工业企业的比重,有产品或工艺创新活动的非金属矿采选业企业占规模以上工业企业的比重,有产品或工艺创新活动的开采专业及辅助性活动企业占规模以上工业企业的比重,有产品或工艺创新活动的其他采矿业企业占规模以上工业企业的比重,有产品或工艺创新活动的制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的农副食品加工业企业占规模以上工业企业的比重,有产品或工艺创新活动的食品制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的酒、饮料和精制茶制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的烟草制品业企业占规模以上工业企业的比重,有产品或工艺创新活动的纺织业企业占规模以上工业企业的比重,有产品或工艺创新活动的纺织服装、服饰业企业占规模以上工业企业的比重,有产品或工艺创新活动的皮革、毛皮、羽毛及其制品和制鞋业企业占规模以上工业企业的比重,有产品或工艺创新活动的木材加工和木、竹、藤、棕、草制品业企业占规模以上工业企业的比重,有产品或工艺创新活动的家具制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的造纸和纸制品业企业占规模以上工业企业的比重,有产品或工艺创新活动的印刷和记录媒介复制业企业占规模以上工业企业的比重,有产品或工艺创新活动的文教、工美、体育和娱乐用品制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的石油加工、炼焦和核燃料加工业企业占规模以上工业企业的比重,有产品或工艺创新活动的化学原料和化学制品制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的医药制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的化学纤维制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的橡胶和塑料制品业企业占规模以上工业企业的比重,有产品或工艺创新活动的非金属矿物制品业企业占规模以上工业企业的比重,有产品或工艺创新活动的黑色金属冶炼和压延加工业企业占规模以上工业企业的比重,有产品或工艺创新活动的有色金属冶炼和压延加工业企业占规模以上工业企业的比重,有产品或工艺创新活动的金属制品业企业占规模以上工业企业的比重,有产品或工艺创新活动的通用设备制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的专用设备制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的汽车制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的铁路、船舶、航空航天和其他运输设备制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的电气机械和器材制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的计算机、通信和其他电子设备制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的仪器仪表制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的其他制造业企业占规模以上工业企业的比重,有产品或工艺创新活动的废弃资源综合利用业企业占规模以上工业企业的比重,有产品或工艺创新活动的金属制品、机械和设备修理业企业占规模以上工业企业的比重,有产品或工艺创新活动的电力、热力、燃气及水生产和供应业企业占规模以上工业企业的比重,有产品或工艺创新活动的电力、热力生产和供应业企业占规模以上工业企业的比重,有产品或工艺创新活动的燃气生产和供应业企业占规模以上工业企业的比重,有产品或工艺创新活动的水的生产和供应业企业占规模以上工业企业的比重
2019,49.641,18.285,14.84,44.538,18.057,26.623,18.059,25.781,50,51.678,35.785,49.128,43.263,72.897,43.595,31.995,40.515,28.243,43.341,39.587,44.243,47.484,39.92,56.811,74.388,60.414,49.508,34.84,38.06,50.365,48.896,65.385,69.524,62.292,62.032,68.484,74.549,80.421,52.647,36.497,43.074,20.47,20.465,16.803,23.998
2018,43.048,15.589,13.093,44.248,13.187,22.188,15.088,32.178,33.333,44.667,30.373,42.233,37.003,67.593,34.575,26.678,34.222,24.959,33.657,33.512,36.213,40.055,35.953,50.591,68.262,50.301,41.806,29.24,33.132,43.995,41.463,56.018,61.091,56.256,54.867,62.262,69.696,74.425,43.687,29.215,37.306,18.812,18.914,15.018,21.976
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
