年份,规模以上工业企业新产品出口销售收入,大中型工业企业新产品出口销售收入,规模以上工业内资企业新产品出口销售收入,规模以上工业国有企业新产品出口销售收入,规模以上工业集体企业新产品出口销售收入,规模以上工业股份合作企业新产品出口销售收入,规模以上工业联营企业新产品出口销售收入,规模以上工业国有联营企业新产品出口销售收入,规模以上工业有限责任公司新产品出口销售收入,规模以上工业国有独资公司新产品出口销售收入,规模以上工业股份有限公司新产品出口销售收入,规模以上工业私营企业新产品出口销售收入,规模以上工业其他企业新产品出口销售收入,规模以上工业港、澳、台商投资企业新产品出口销售收入,规模以上工业港、澳、台商合资经营企业新产品出口销售收入,规模以上工业港、澳、台商合作经营企业新产品出口销售收入,规模以上工业港、澳、台商独资经营企业新产品出口销售收入,规模以上工业港、澳、台商投资股份有限公司新产品出口销售收入,规模以上工业外商投资企业新产品出口销售收入,规模以上工业中外合资经营企业新产品出口销售收入,规模以上工业中外合作经营企业新产品出口销售收入,规模以上工业外资企业新产品出口销售收入,规模以上工业外商投资股份有限公司新产品出口销售收入
2019,392692887.9,341265062.6,217761380.9,202664.6,12183,65488.4,2053,2053,78517043.7,9879411.9,45050062.4,93368828.3,543057.5,97354531.7,15256851.8,368765.3,76799948.7,4660578.8,77576975.3,22534798.5,1861805.8,50287070.6,2289793.6
2018,361608191.1,323444065.0,185889553.7,265461.4,32193.1,50936.4,7993.8,7993.8,74852834.1,7368217.0,41794038.0,68152559.3,733537.6,94313185.8,13435973.3,384353.6,74715811.9,5565051.8,81405451.6,28923053.7,1329249.6,48015831.9,2126531.8
2017,349447537.4,317604890.0,172039156.0,944556.0,1312709.2,64327.0,5313.5,5313.5,70968504.3,9538114.6,43256360.1,55484335.6,3050.3,102579702.0,15134800.3,555513.9,83937782.8,2698265.0,74828679.4,28355885.4,1820706.3,41325410.1,2874182.4
2016,327130958.4,299526690.4,150792645.7,1314190.9,1250512.3,72359.6,7133.8,7106.8,62404584.1,8915009.0,38704824.0,47019525.7,19515.3,88907937.8,15223748.4,354801.0,69925900.9,2802963.0,87430374.9,25795412.0,1706135.5,57178398.2,2634402.0
2015,291326776.3,270158268.2,120895823.2,1138573.7,1292755.9,63529.9,82433.3,82250.8,51734625.1,8183248.4,31281580.7,35204097.7,98226.9,88392180.1,13675534.8,434957.9,70211994.9,3230729.4,82038773.0,27174000.1,1589340.9,50456993.9,2746747.1
2014,269043782.5,249545313.6,119470446.6,1117816.3,1445743.8,84711.8,26633.1,26633.1,53009014.3,7326430.6,30273522.8,33475546.7,37457.8,59842434.2,12329275.4,227203.3,45705176.3,1573867.8,89730901.7,27456621.3,1437131.7,58327641.8,2444949.4
2013,228534683.0,212932265.0,95969591.6,1202290.3,1453842.4,66032.3,23902.9,23275.5,39504118.2,6556577.6,27346984.4,26321313.9,51107.2,47650019.5,10552600.1,120386.2,35106884.4,1779743.0,84915071.9,27821199.3,1330479.4,53164229.0,2592579.4
2012,218941519.3,205652136.0,90874336.1,3955128.0,2660334.9,385601.4,54301,43197.9,35483202.3,6546022.0,27305719.7,20533674.1,496374.7,32376564.4,10932389.6,202454.0,19141718.1,1779224.8,95690618.8,26593629.2,490486.2,66092653.0,2490102.2
2011,202230938.1,189565814.7,81941699.2,4321095.9,1316488.3,488004.5,27982.3,7676.8,35327686.9,6209570.4,20403354.4,19285090.8,771996.1,27906828.2,11129999.0,106463.3,15370157.1,1285757.0,92382410.7,27284675.9,359968.5,62068046.7,2637729.8
2010,,147736448.5,,,,,,,,,,,,,,,,,,,,,
2009,115725000.0,106787198.0,,,,,,,,,,,,,,,,,,,,,
2008,140816000.0,132107457.9,,,,,,,,,,,,,,,,,,,,,
2007,,99224158.0,,,,,,,,,,,,,,,,,,,,,
2006,,73351890.0,,,,,,,,,,,,,,,,,,,,,
2005,,55389000.0,,,,,,,,,,,,,,,,,,,,,
2004,53122000.0,48540000.0,,,,,,,,,,,,,,,,,,,,,
2003,,25900000.0,,,,,,,,,,,,,,,,,,,,,
2002,,17720000.0,,,,,,,,,,,,,,,,,,,,,
2001,,13930000.0,,,,,,,,,,,,,,,,,,,,,
2000,,12710000.0,,,,,,,,,,,,,,,,,,,,,
