年份,规模以上工业企业新产品销售收入,大中型工业企业新产品销售收入,规模以上工业内资企业新产品销售收入,规模以上工业国有企业新产品销售收入,规模以上工业集体企业新产品销售收入,规模以上工业股份合作企业新产品销售收入,规模以上工业联营企业新产品销售收入,规模以上工业国有联营企业新产品销售收入,规模以上工业有限责任公司新产品销售收入,规模以上工业国有独资公司新产品销售收入,规模以上工业股份有限公司新产品销售收入,规模以上工业私营企业新产品销售收入,规模以上工业其他企业新产品销售收入,规模以上工业港、澳、台商投资企业新产品销售收入,规模以上工业港、澳、台商合资经营企业新产品销售收入,规模以上工业港、澳、台商合作经营企业新产品销售收入,规模以上工业港、澳、台商独资经营企业新产品销售收入,规模以上工业港、澳、台商投资股份有限公司新产品销售收入,规模以上工业外商投资企业新产品销售收入,规模以上工业中外合资经营企业新产品销售收入,规模以上工业中外合作经营企业新产品销售收入,规模以上工业外资企业新产品销售收入,规模以上工业外商投资股份有限公司新产品销售收入
2019,2120602637.5,1660898594.1,1557714924.3,14709021.4,475073.4,830617.2,19099.3,4176.9,591689881.3,102803035.8,307938791.1,639791719.2,2260721.4,252177739.5,76087763.8,1572107.8,161478078.1,12271955.6,310709973.7,181688433.1,4251726.4,110148256.2,10921213.4
2018,1970940693.9,1591166153.9,1438177877.4,12834758.1,396665.7,599977.4,29742.8,18683.0,573408674.0,104568168.9,300572094.9,547795828.8,2540135.7,233315344.8,69815693.3,2232362.1,147383556.6,13065242.3,299447471.7,171839944.8,5309554.6,106898739.3,12175929.2
2017,1915686889.4,1599569497.0,1334941713.3,47571229.8,8246889.8,650819.0,68439.1,18795.8,559755412.3,86522152.0,289845422.2,428471494.5,332006.6,260442342.1,82445328.4,2205570.8,159062220.3,14539338.1,320302834.0,198557392.7,3246482.2,102191938.1,14530278.8
2016,1746041534.3,1473363552.8,1208390781.7,46783702.8,8379211.9,669874.6,73808.3,27799.7,494761828.2,67108647.3,267755910.5,389675619.9,290825.5,216260034.2,75665012.2,1443032.3,126413080.3,11508899.3,321390718.4,190563565.0,3022293.7,114303509.3,12734725.0
2015,1508565472.7,1290765861.7,1020773224.2,38136865.3,8899862.4,948117.2,167002.0,125139.6,411058331.6,57509296.8,233127907.9,326704530.4,1730607.4,203529343.9,72016421.6,1609795.2,117126569.3,11826519.7,284262904.6,170710115.1,3424312.4,98981417.3,10864476.2
2014,1428952867.0,1236008137.2,944582126.3,39011856.3,8475589.4,1278315.6,975622.6,930095.7,392132502.5,59561455.1,228045356.2,273564962.5,1097921.2,166090434.1,67025381.1,2006792.3,87573541.9,9460306.9,318280407.5,195410555.6,3250530.9,109216835.1,10186588.2
2013,1284606903.2,1125619063.0,837421639.7,30625353.3,8416161.8,974706.3,882324.1,827755.0,358674342.7,62989977.9,208367328.1,228237347.8,1244075.6,140216755.8,57357357.0,973699.9,73835408.9,7764855.9,306968507.7,192316151.5,3281700.0,101077562.1,10080712.9
2012,1105297711.1,981921709.0,727129402.5,73886123.7,12245305.1,2729970.0,1614586.9,1304449.8,284221579.4,52525311.8,181807579.9,165428442.4,5195815.1,110068120.3,48376999.1,688788.9,52277400.1,7730055.6,268100188.3,155720800.6,2005692.5,101111836.1,8937882.9
2011,1005827244.7,886502359.4,645500919.3,75087570.2,7969827.0,2733797.9,1946250.1,1112917.6,252885647.8,49156528.2,165657099.2,135095607.8,4125119.3,98220216.5,43828104.5,480290.9,45896509.0,7287084.4,262100315.3,157203820.8,1333501.3,92607211.5,10752314.2
2010,,728638981.6,,,,,,,,,,,,,,,,,,,,,
2009,658382000.0,579780546.0,,,,,,,,,,,,,,,,,,,,,
2008,570270986.0,512916075.0,,,,,,,,,,,,,,,,,,,,,
2007,,409761681.4,,,,,,,,,,,,,,,,,,,,,
2006,,312328083.9,,,,,,,,,,,,,,,,,,,,,
2005,,240970909.9,,,,,,,,,,,,,,,,,,,,,
2004,228085839.3,204212346.0,,,,,,,,,,,,,,,,,,,,,
2003,,140980000.0,,,,,,,,,,,,,,,,,,,,,
2002,,108380000.0,,,,,,,,,,,,,,,,,,,,,
2001,,87940000.0,,,,,,,,,,,,,,,,,,,,,
2000,,76413740.6,,,,,,,,,,,,,,,,,,,,,
