年份,规模以上工业企业有研究与试验发展活动企业数,规模以上工业企业有研究与试验发展活动企业所占比重,规模以上工业企业科技活动人员,规模以上工业企业的科学家和工程师人员,规模以上工业企业研究与试验发展人员全时当量,规模以上工业企业研究与试验发展科学家和工程师人员全时当量,规模以上工业企业研究与试验发展经费支出,规模以上工业企业研究与试验发展政府资金支出,规模以上工业企业研究与试验发展经费支出与主营业务收入之比,规模以上工业企业研究与试验发展项目数,规模以上工业企业研究与试验发展项目经费支出,规模以上工业企业办研究与试验发展机构数,规模以上工业企业办研究与试验发展机构人员数,规模以上工业企业办研究与试验发展机构科学家和工程师数,规模以上工业企业科技经费筹集额,规模以上工业企业政府资金筹集额,规模以上工业企业企业资金筹集额,规模以上工业企业金融机构贷款筹集额,规模以上工业企业科技经费内部支出,规模以上工业企业办研究与试验发展机构经费支出,规模以上工业企业新产品开发项目数,规模以上工业企业新产品开发经费支出,规模以上工业企业新产品销售收入,规模以上工业企业新产品出口销售收入,规模以上工业企业专利申请数,规模以上工业企业发明专利申请数,规模以上工业企业有效发明专利数,规模以上工业企业引进国外技术经费支出,规模以上工业企业引进技术消化吸收经费支出,规模以上工业企业购买国内技术经费支出,规模以上工业企业技术改造经费支出
2019,129198,34.2044302306187,,,3151828,,139710989.4,,,598072,14236.90551,95459,341.6317,,,,,,,12175.48281,671799,169857184.5,2120602637.5,392692887.9,1059808,398802,1218074,476.69007,96.76919,537.40931,3740.15309
2018,104820,27.968855897154,,,2981234,,129548263.7,,1.25043142014992,472299,12333.54683,83115,318.2794,,,,,,,10321.26433,558305,149872195.7,1970940693.9,361608191.1,957298,371569,1094200,465.26812,91.00769,440.16959,3233.4113
2017,102218,27.4335618166301,,,2736244,,120129588.5,,1.06,445029,11990.23228,82667,325.4179,,,,,,,8955.49103,477861,134978371.2,1915686889.4,349447537.4,817037,320626,933990,399.31534,118.53889,200.86962,3103.37919
2016,86891,22.9518805850298,,,2702489.2,,109446585.6,,0.94432438198848,360997,10064.33325,72963,292.3953,,,,,,,7664.48473,391872,117662657.9,1746041534.3,327130958.4,715397,286987,769847,475.4183,109.2479,208.00229,3016.60608
2015,73570,19.2,,,2638290,,100139329.8,,0.90210356707158,309895,9146.71429,62954,266.8376,,,,,,,6793.86622,326286,102708341.9,1508565472.7,291326776.3,638513,245688,573765,414.0636,108.38797,229.94454,3147.6442
2014,63676,16.9,,,2641578.1,,92542587.0,,0.84,342507,8162.9754,57199,246.4,,,,,,,6257.6304,375863,101231582.0,1428952867.0,269043782.5,630561,239925,448885,387.5109,143.1816,213.5321,3797.9826
2013,54832,14.8298002390856,,,2493957.7,,83184004.8,,0.801931415408185,322567,7294.49019,51625,238.7943,,,,,,,5941.51897,358287,92467435.9,1284606903.2,228534683.0,560918,205146,335401,393.94552,150.57773,214.38102,4072.11679
2012,47204,13.7,,,2246179,,72006450.4,,0.774791912884392,287524,6230.6119,45937,226.7561,,,,,,,5233.35467,323448,79985405.1,1105297711.1,218941519.3,489945,176167,277196,393.90662,156.8382,201.69183,4161.75455
2011,37467,11.5,,,1939074.7,,59938054.5,,0.710204479356589,232158,5051.99383,31320,181.6456,,,,,,,3956.97933,266232,68459429.8,1005827244.7,202230938.1,386075,134843,201089,448.98607,202.16691,220.52192,4293.66239
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,36387,8.47617095800574,,,1447000,,37757000.0,,0.692427948125696,194400,3185.9,29879,155.0164,,,,,,,2983.6,237754,44820000.0,658382000.0,115725000.0,265808,92450,118245,422.17048,182.0,203.41002,4344.7
2008,27278,6.5,309.1848,197.8975,1229998.67,950086.1,30731302.8,1283966.4,0.610700930010981,143448,2902.0,26177,130.4275,89.4981,6160.5147,230.61427,5483.17502,358.59949,5941.67975,2634.8,184859,36760615.3,570270986.0,140816000.0,173573,59254,80252,466.91171,122.7,184.3,4672.7
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,17075,6.18,183.8,106.4,542000,401000.0,11045000.0,429000.0,0.56,53641,921.2,17555,64.4,41.1,2504.9,88.2,2154.3,210.2,2402.1,841.6,76176,9657000.0,228085839.3,53122000.0,64569,20456,30315,397.36357,61.20624,82.4822,2953.5
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
