年份,实现组织(管理)创新活动的规模以上内资工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上国有工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上集体工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上股份合作工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上联营工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上有限责任公司工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上国有独资公司工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上股份有限公司工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上私营工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上其他内资工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上港、澳、台商投资工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上外商投资工业企业占规模以上工业企业的比重
2019,32.869,26.644,16.817,24.454,17.241,35.394,38.275,50.559,31.383,14.706,30.236,29.45
2018,29.391,23.354,14.108,19.384,25.0,31.751,36.151,48.769,27.755,14.925,28.594,28.374
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
