年份,限额以上研究与试验发展项目(课题)人员全时当量,限额以上研究与试验发展国家科技项目(课题)人员全时当量,限额以上研究与试验发展地方科技项目(课题)人员全时当量,限额以上研究与试验发展企业委托科技项目(课题)人员全时当量,限额以上研究与试验发展自选科技项目(课题)人员全时当量,限额以上研究与试验发展来自国外的科技项目(课题)人员全时当量,限额以上研究与试验发展其它科技项目(课题)人员全时当量,限额以上自然科学研究与试验发展项目(课题)人员全时当量,限额以上农业科学研究与试验发展项目(课题)人员全时当量,限额以上医药科学研究与试验发展项目(课题)人员全时当量,限额以上工程与技术科学研究与试验发展项目(课题)人员全时当量,限额以上人文与社会科学研究与试验发展项目(课题)人员全时当量,限额以上基础研究研究与试验发展项目(课题)人员全时当量,限额以上应用研究研究与试验发展项目(课题)人员全时当量,限额以上试验发展研究与试验发展项目(课题)人员全时当量,环境保护及污染防治限额以上研究与试验发展项目(课题)人员全时当量,促进能源的生产、分配和合理利用限额以上研究与试验发展项目(课题)人员全时当量,促进卫生事业的发展限额以上研究与试验发展项目(课题)人员全时当量,促进教育事业的发展限额以上研究与试验发展项目(课题)人员全时当量,基础设施以及城市和农村规划限额以上研究与试验发展项目(课题)人员全时当量,社会发展和社会服务限额以上研究与试验发展项目(课题)人员全时当量,地球和大气层的探索与利用限额以上研究与试验发展项目(课题)人员全时当量,民用空间的探测及开发限额以上研究与试验发展项目(课题)人员全时当量,促进农林牧渔业发展限额以上研究与试验发展项目(课题)人员全时当量,促进工商业发展限额以上研究与试验发展项目(课题)人员全时当量
2019,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1775968.0,349363.0,244285.3,102931.9,1001877.2,25131.8,52378.8,85398.5,55817.5,120303.8,1452039.0,62409.2,153639.1,284976.6,1337352.3,49173.5,88170.0,109984.4,25135.2,54271.5,108775.7,11147.3,3430.3,61599.7,1043330.0
2008,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,
