年份,高技术产业研究与试验发展机构数(大中型工业企业口径),高技术产业研究与试验发展人员全时当量(大中型工业企业口径),高技术产业研究与试验发展经费(大中型工业企业口径),高技术产业新产品开发经费(大中型工业企业口径),高技术产业专利申请数(大中型工业企业口径),高技术产业有效发明专利数(大中型工业企业口径),高技术产业施工项目数(大中型工业企业口径),高技术产业新开工项目数(大中型工业企业口径),高技术产业全部建成或投产项目数(大中型工业企业口径),高技术产业固定资产投资额(大中型工业企业口径),高技术产业新增固定资产(大中型工业企业口径)
2019,6331,63.9,3077.8,4389.3,199660,365523,,,,,
2018,6399,66.10084,2912.52694,3768.44686,179600,327965,,,,,
2017,7018,59.02875,2644.65164,3421.29505,158354,306431,27891.0,19270.0,17770.0,26186.55,15608.75
2016,6456,58.02478,2437.60503,3000.35553,131680,257234,23715.0,17498.0,14949.0,22786.7,13140.3
2015,5572,59.0,2219.7,2574.6,114562,199728,20028.0,14122.0,14100.0,19950.6525,14307.5432
2014,4763,57.3,1922.2,2350.6,120077,147927,18403.0,12039.0,11914.0,17451.7,11790.7
2013,4583,55.9,1734.4,2069.5,102532,115884,17691.0,11637.0,10528.0,15557.7,9874.3
2012,4566,52.6,1491.494,1827.4769,97200,97878,15681.0,10223.0,8968.0,12932.7,8377.1
2011,3254,42.6718,1237.8065,1528.0302,77725,67428,13204.0,8447.0,7735.0,9468.46,6355.15
2010,3184,39.90749,967.82997,1006.93846,59683,50166,10723.0,7117.0,6011.0,6944.7,4450.4
2009,2845,32.0033,774.04986,925.07433,51513,31830,9780.0,6220.0,5412.0,4882.2,3160.5
2008,2534,28.5079,655.1994,798.4007,39656,23915,8534.0,4872.0,4290.0,4169.23,2574.17
2007,,24.8228,545.32441,652.02839,34446,13386,,,,,
2006,,18.898654,456.43672,509.95343,24301,8141,,,,,
2005,1619,17.3161,362.49852,415.69158,16823,6658,7095.0,4460.0,3158.0,2144.0,1464.0
2004,,12.083003,292.1315,258.8201,11026,4535,,,,,
2003,,12.7847,222.4421,207.5842,8270,3356,,,,,
2002,,,,,,,,,,,
2001,,,,,,,,,,,
2000,1379,9.1573,111.041,117.79403,2245,1443,2734.0,1640.0,1282.0,562.9501,421.0174
