年份,高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),医药制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),化学药品制造高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),中成药制造高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径)
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,
2008,237845.21,32093.98,19123.16,9049.85,2042.97,14768.32,146133.88,88841.0,2576.18,1892.67,16561.67,18270.14,10045.75,7946.47,26506.18,12959.27,8431.52,18342.85,2662.96,15679.89
2007,213822.0,25377.0,15558.0,6519.0,2294.0,20570.0,125333.0,73149.0,2856.0,2236.0,14991.0,17776.0,12503.0,1821.0,27212.0,14206.0,8817.0,15330.0,2935.0,12395.0
2006,153144.19,20374.58,12726.64,4966.47,1529.01,20841.44,85157.47,46149.8,3195.87,1353.38,11706.52,11745.64,9339.25,1667.01,14791.42,5931.28,8674.34,11979.28,2127.43,9851.85
2005,141372.88,16139.16,10186.63,4269.2,1312.67,19251.3,81906.83,46449.96,1658.24,1518.01,11210.14,11000.15,8813.11,1257.22,14987.3,6837.54,7433.61,9088.29,1078.16,8010.13
2004,92153.51,10750.59,3644.42,2728.26,1043.67,14861.92,48494.91,28083.74,1407.61,577.0,5710.02,4454.05,8034.3,228.19,11593.97,5134.77,3624.25,6452.12,1254.38,5197.74
2003,92499.0,13215.378,4613.589,3684.117,920.73,13219.635,49380.372,26683.097,1533.839,199.542,5121.444,6347.346,7197.643,2297.461,10374.226,5624.644,3522.82,6309.752,685.041,5624.711
2002,,14289.0,6750.0,3427.0,1056.0,16657.0,40943.0,23709.0,1728.0,524.0,4350.0,4420.0,4177.0,2035.0,5952.0,1998.0,2857.0,5859.0,635.0,5223.0
2001,,11403.526,4415.284,2672.704,1361.845,19131.494,39606.063,22487.212,2338.799,282.79,2987.828,3306.512,5086.264,3116.658,5992.15,2375.145,3423.331,5742.242,584.649,5157.593
2000,,,,,,,,,,,,,,,,,,,,
