年份,商品进出口贸易总额,工业制成品进出口贸易额,高技术产品进出口贸易总额,初级产品进出口贸易额,商品出口贸易总额,工业制成品出口额,高技术产品出口贸易总额,初级产品出口额,商品进口贸易总额,工业制成品进口额,高技术产品进口贸易总额,初级产品进口额,商品出进口贸易差额,工业制成品出进口贸易差额,高技术产品出进口贸易差额,初级产品出进口贸易差额,工业制成品占进出口贸易总额比重,高技术产品占商品进出口贸易总额比重,初级产品占进出口贸易总额比重,工业制成品占出口贸易总额比重,高技术产品占商品出口贸易总额比重,初级产品占出口贸易总额比重,工业制成品占进口贸易总额比重,高技术产品占商品进口贸易总额比重,初级产品占进口贸易总额比重
2019,45778.91072384,37139.69160443,13685.05302639,8639.21911545,24994.82089188,23655.12519653,7307.13844601,1339.69569535,20784.08983196,13484.5664079,6377.91458038,7299.5234201,4210.73105992,10170.55878863,929.22386563,-5959.82772475,81.1283864495469,29.8937934739092,18.8716135418028,94.6401068399525,29.234610152313,5.3598931600475,64.8792731215229,30.6865233548625,35.1207268594241
2018,46224.15393,37856.78464,14184.7735,8367.36929,24866.8151,23516.88681,7468.1621,1349.92829,21357.33883,14339.89783,6716.6114,7017.441,3509.47627,9176.98898,751.5507,-5667.51271,81.8982748658392,30.6869294384076,18.1017251341608,94.5713663588547,30.0326441885193,5.4286336411453,67.1427182203861,31.4487280155212,32.8572817796139
2017,41071.6427,34097.92653,12514.7726,6973.71616,22633.71329,21456.38143,6674.4367,1177.33186,18437.92941,12641.5451,5840.3359,5796.3843,4195.78388,8814.83633,840.82,-4619.05244,83.020605674484,30.6184003689728,16.9793943011683,94.7983265277105,29.6378676978461,5.20167347228953,68.5627155788097,31.8220656426735,31.4372843669543
2016,36849.142,31399.4168,11271.9404,5449.7252,20974.3678,19924.5542,6035.7346,1049.8136,15874.7742,11474.8626,5236.2058,4399.9116,5099.5936,8449.6916,804.49642202,-3350.098,85.2107134543323,30.6085130637777,14.7892865456677,94.994778340828,28.8053279607789,5.00522165917201,72.2836271901115,32.9909512065375,27.7163728098885
2015,39569.007,33799.109,12032.6964,5769.898,22749.498,21709.724,6552.1165,1039.774,16819.509,12089.385,5480.5799,4730.124,5929.989,9620.339,1071.5366,-3690.35,85.4181379886536,30.4093969302793,14.5818620113464,95.4294639820184,28.8011476121363,4.57053601798158,71.8771576506782,32.5846604677937,28.1228423493219
2014,43030.0,35429.0,12119.0,7601.0,23427.0,22300.0,6605.0,1127.0,19603.0,13129.0,5514.0,6474.0,3824.0,9171.0,1091.0,-5347.0,82.335579828027,28.1640715779689,17.664420171973,95.1893114782089,28.1939642293081,4.8106885217911,66.9744426873438,28.1283477018824,33.0255573126562
2013,41603.0,33954.0,12185.0,7649.0,22100.0,21027.0,6603.0,1073.0,19503.0,12927.0,5582.0,6576.0,2597.0,8100.0,1021.0,-5503.0,81.6143066605774,29.2887532149124,18.3856933394226,95.1447963800905,29.8778280542986,4.8552036199095,66.282110444547,28.6212377582936,33.717889555453
2012,38668.0,31316.0,11080.3,7352.0,20490.0,19484.0,6011.7,1006.0,18178.0,11832.0,5068.6,6346.0,2312.0,7652.0,943.099999999999,-5340.0,80.986862521982,28.6549601737871,19.013137478018,95.0902879453392,29.3396778916545,4.90971205466081,65.0896688304544,27.8831554626472,34.9103311695456
2011,36419.38,29371.3,10120.0,7049.28,18985.95,17980.48,5488.0,1005.52,17433.42,11390.82,4632.0,6043.76,1552.53,6589.66,856.0,-5038.24,80.6474464968926,27.7874033001111,19.3558484521153,94.7041364798706,28.9055854460799,5.29612687276644,65.3389868425128,26.5696575887003,34.6676670441027
2010,29727.61,24584.87,9050.8702,5142.72,15779.32,14962.15,4924.1392,817.16,13948.29,9622.72,4126.731,4325.56,1831.03,5339.43,797.4082,-3508.4,82.7004592700187,30.4460069275667,17.2994734524572,94.8212597247537,31.2062826534984,5.17867690115924,68.9885283429008,29.5859277373786,31.0113999637232
2009,22075.35,18546.19,6867.84,3529.16,12016.12,11385.0,3769.3,631.12,10059.23,7161.19,3098.53,2898.04,1956.89,4223.81,670.77,-2266.92,84.01,31.11,15.99,94.75,31.37,5.25,71.19,30.8,28.81
2008,25632.6,21229.1,7574.25,4403.5,14306.93,13527.4,4156.06,779.6,11325.67,7701.7,3418.2,3623.9,2981.26,5825.7,737.86,-2844.3,82.82,29.5,17.18,94.55,29.0,5.4,68.0,30.18,32.0
2007,21738.33,18693.0,6348.0,3045.0,12180.15,11565.0,3478.0,615.0,9558.18,7128.0,2870.0,2430.0,2621.96,4437.0,608.0,-1815.0,86.0,29.2,14.0,95.0,28.6,5.0,74.6,30.0,25.4
2006,17604.0,15203.5,5287.5,2400.5,9689.4,9160.2,2814.5,529.2,7914.6,6043.3,2473.0,1871.3,1774.8,3116.9,341.5,-1342.1,86.363894569416,30.0357873210634,13.636105430584,94.5383615084526,29.0472062253597,5.46163849154746,76.3563540798019,31.246051600839,23.6436459201981
2005,14219.1,12251.6,4159.0417,1967.5,7619.5,7129.2,2182.4375,490.4,6599.5,5122.4,1976.6042,1477.1,1020.0,2006.8,205.8333,-986.7,86.1629779662567,29.249683172634,13.8370220337433,93.5651945665726,28.6427915217534,6.43611785550233,77.6180013637397,29.9508174861732,22.3819986362603
2004,11546.0,9969.0,3267.0,1577.0,5933.69,5528.0,1654.0,405.5,5614.23,4441.0,1613.0,1173.0,319.46,1087.0,41.0,-768.0,86.3272346881516,28.2908090807695,13.6691282932338,93.1629390817518,27.8747288786573,6.83385886354023,79.1025661577812,28.730565010696,20.8933371094522
2003,,,2296.0,,,,1103.0,,,,1193.0,,,,,,,,,,,,,,
2002,,,1507.0,,,,679.0,,,,828.0,,,,,,,,,,,,,,
2001,,,1105.59,,,,464.52,,,,641.07,,,,,,,,,,,,,,
2000,4742.9,4020.9,895.5,722.0,2492.0,2237.4,370.43,254.6,2250.9,1783.5,525.07,467.4,241.1,453.9,-154.64,-212.8,84.7772459887411,18.8808534862637,15.2227540112589,89.7833065810594,14.8647672552167,10.2166934189406,79.2349726775956,23.3271135990048,20.7650273224044
