年份,普通高校数,理工农医学校数,人文社科学校数,高等学校研究与试验发展机构数,高等学校科技活动人员,高等学校的科学家和工程师人员,高等学校研究与试验发展人员,高等学校科研和开发机构研究与试验发展折合全时人员,高等学校科研和开发机构研究与试验发展折合全时科学家和工程师人员,高等学校基础研究机构研究与试验发展折合全时人员,高等学校应用研究机构研究与试验发展折合全时人员,高等学校试验发展机构研究与试验发展折合全时人员,高等学校研究与试验发展经费支出,高等学校基础研究经费支出,高等学校构应用研究经费支出,高等学校试验发展经费支出,高等学校研究与试验发展政府资金经费支出,高等学校研究与试验发展企业资金经费支出,高等学校科技经费筹集额,高等学校来源于政府的科技经费筹集额,高等学校来源于企业的科技经费筹集额,高等学校来源于金融机构贷款科技经费筹集额,高等学校的科技经费内部支出,高等学校用于劳务费的科技经费内部支出,高等学校固定资产购建费,高等学校研究与试验发展项目(课题)数,高等学校研究与试验发展项目(课题)人员全时当量,高等学校研究与试验发展项目(课题)经费支出,高等学校发表科技论文数量,高等学校发表科技论文中国外发表数,高等学校出版科技著作,高等学校专利申请受理数,高等学校发明专利申请受理数,高等学校专利申请授权数,高等学校发明专利申请授权数
2019,2688,2294,2376,18379,,,123.318,56.54781,,26.67799,25.81659,4.05323,1796.61652,722.24263,879.30368,195.0702,1048.5268,470.97351,,,,,,,,1188769,56.53615,1153.97365,1447336,542557,43331,340685,210885,213163,92394
2018,2663,2211,2346,16280,,,98.4292,41.08933,,19.13152,19.68796,2.26985,1457.88202,589.85576,711.4975,156.52876,972.26028,387.16442,,,,,,,,1076903,41.07458,988.79685,1389912,459492,44794,320790,191964,193027,79773
2017,2631,2162,2325,14971,,,91.359,38.21599,,18.06131,18.27147,1.88321,1265.96111,531.11602,623.05538,111.78971,804.54673,360.36445,,,,,,,,966780,38.19841,876.99212,1308110,390235,45591,277524,157131,169679,78254
2016,2596,2021,2199,13062,,,85.1764,36.00491,,16.70527,17.25339,2.04626,1072.2401,432.46357,528.40304,111.37349,687.75408,310.48798,,,,,,,,894279,35.9837,777.22261,1267881,355483,44518,236665,137755,149524,66419
2015,2560,1713,1814,11732,,,83.8786,35.48614,,16.4155324789824,17.2109579725757,1.85964954844195,998.5884432,391.0288059,516.3094702,91.2501671,637.2573751,301.4958227,,,,,,,,841520,35.44745,765.6447116,1220467,313698,43136,190351,109911,127329,55021
2014,2529,1356,1540,10632,,,76.3,33.5,,15.5,16.1,1.9,898.1,328.6,476.4,93.1,536.5,302.7,,,,,,,,766731,33.5,701.8,1152147,278599,39326,149961,93415,85006,39468
2013,2491,1070,1150,9842,,,71.5144,32.47512,,14.6580283666118,15.9062688069463,1.91082282644187,856.7,307.6,441.3,107.8,516.9,289.3,,,,,,,,711010,32.43035,662.7,1127210,249637,37866,133865,81251,84930,35873
2012,2442,1039,1090,9225,,,67.7799,31.4,,14.0449100823376,15.4,1.9,780.55532321,275.65436,402.70397107,102.1974655,474.07324692,260.48212727,,,,,,,,657027,31.31065,607.26808376,1117742,226097,38760,113430,66755,74550,34441
2011,2409,975,997,8630,,,63.1728,29.922,,12.9330978533434,15.0373273000233,1.9615748466333,688.84125123,226.67101178,372.42053843,89.75660102,405.14501285,242.90777169,,,,,,,,604107,29.90133,535.33884607,1109965,218301,37472,95592,54362,53055,25064
2010,2358,970,963,7833,,,59.3569,28.967,,12.0038,14.8234,2.13985,597.2984,179.9289,337.0342,80.3352,358.8367,198.505,,,,,,,,547717,28.894,466.9996,1062512,182247,38101,72744,44132,37490,18055
