年份,民族自治地方铁路营业里程,民族自治地方公路通车里程,民族自治地方邮电业务总量,民族自治地方邮路及农村投递线路总长度
2019,,,,
2018,,,,
2017,,,,
2016,,,,
2015,,,,
2014,,,,
2013,2.52234,102.9891118,1526.58089207802,190.314092
2012,2.367907,102.4560926,1322.109256,161.235195
2011,2.300167,96.1396675,1191.5729158,139.1797
2010,2.123531,91.1878676,2456.369447,126.708333
2009,2.09442,88.0105971,2141.85875782471,123.0557
2008,2.00468,86.3522338,1803.6543178296,115.58742
2007,1.81902,82.8607465,1435.6068103,110.52205
2006,1.8,77.28,1119.1,114.2
2005,1.69,58.96,891.8,109.7
2004,,,,
2003,,,,
2002,,,,
2001,,,,
2000,1.4276,42.363454,296.89,109.5212
