年份,人均生活能源消费量,人均煤炭生活消费量,人均电力生活消费量,人均煤油生活消费量,人均液化石油气生活消费量,人均天然气生活消费量,人均煤气生活消费量
2019,,,,,,,
2018,433.940703740149,55.3906851972947,722.146578722688,,22.5979227562311,33.6305965678227,3.39692546293969
2017,414.448467006961,66.9543937942443,654.32779496536,,23.2619580552878,30.3158608180332,3.73847280176285
2016,394.117461479129,68.8457459185684,610.779268350179,,21.4367506442225,27.5445243493886,4.5565819107615
2015,368.003166239575,70.2085345421162,551.713802307434,,18.5918274518805,26.2399361268083,5.86193316900279
2014,346.056272647768,68.1919024057084,526.002917311089,,15.9289659315236,25.1106606205482,7.10563158319101
2013,335.0,68.0,515.0,,13.6,23.8,7.9
2012,313.0,69.0,460.42,0.144,12.1,21.34,10.17
2011,294.0,68.535450148052,418.118783153415,0.173,11.9568133720017,19.6693932357278,10.8668627004828
2010,273.0,68.469307870494,383.091189761569,0.145,10.5,16.9615647337121,12.5
2009,264.0,68.5204242597239,365.981100611451,0.14,11.2352207682947,13.348256538918,12.5
2008,254.0,69.0565467989778,331.867542869653,0.1,10.9990903291801,12.8410793753845,13.9
2007,250.0,74.0626837698282,308.275001233036,0.147817146412623,12.4282467741874,10.8810708066334,14.1
2006,230.0,76.553675763909,255.646748333359,0.174331911760194,11.5,7.82596756723772,12.7
2005,211.0,77.0025070183782,221.275273831804,0.2,10.1919195993005,6.09256588838094,11.1059123124597
2004,191.0,75.3675245876975,183.977654302413,0.2,10.4197746889648,5.18642825453774,10.6537044538318
2003,166.0,69.8906395529339,159.736106799131,0.3,8.6365259236262,4.02747593914933,10.1
2002,146.0,65.7032177444548,138.348953452046,0.3,7.56833801936895,3.60512339893783,9.8250546704155
2001,136.0,66.1261155010418,126.526713055785,0.6,6.73066792467665,3.31092503046743,9.35644926681606
2000,132.0,66.978129244562,114.992733507835,0.6,6.79795191839353,2.55970601396275,10.0107314407454
