年份,人均能源生产量,人均原煤生产量,人均原油生产量,人均电力生产量,人均能源消费量,人均煤炭消费量,人均石油消费量,人均电力消费量
2019,,,,,,,,
2018,2720.0,2655.0,136.0,5145.0,3388.0,2854.0,447.0,5134.0
2017,2588.0,2542.0,138.0,4764.0,3288.0,2823.0,436.0,4754.0
2016,2509.0,2474.0,145.0,4449.0,3202.0,2820.0,418.0,4439.0
2015,2641.0,2732.0,156.0,4240.0,3166.0,2916.0,408.0,4231.0
2014,2655.0,2840.0,155.0,4247.0,3140.0,3032.0,380.0,4239.0
2013,2643.0,2928.0,155.0,4002.0,3071.0,3127.0,368.0,3993.0
2012,2599.0,2921.0,154.0,3693.0,2977.0,3018.0,354.0,3684.0
2011,2531.0,2801.0,151.0,3506.0,2880.0,2894.0,339.0,3497.0
2010,2399.0,2563.0,152.0,3145.0,2696.0,2609.0,330.0,3135.0
2009,2149.0,2340.0,142.0,2790.0,2525.0,2441.0,290.0,2782.0
2008,2094.0,2192.0,144.0,2617.0,2420.0,2269.0,282.0,2608.0
2007,2005.0,2094.0,141.0,2490.0,2363.0,2204.0,278.0,2482.0
2006,1867.0,1960.0,141.0,2186.0,2185.0,2064.0,266.0,2181.0
2005,1757.0,1814.0,139.0,1918.0,2005.0,1867.0,250.0,1913.0
2004,1590.0,1638.0,136.0,1700.0,1777.0,1637.0,241.0,1695.0
2003,1384.0,1424.0,132.0,1483.0,1530.0,1426.0,214.0,1477.0
2002,1221.0,1211.0,130.0,1292.0,1324.0,1200.0,194.0,1286.0
2001,1159.0,1157.0,129.0,1164.0,1223.0,1125.0,180.0,1158.0
2000,1097.0,1096.0,129.0,1074.0,1156.0,1075.0,178.0,1067.0
