年份,汽油消费总量,农、林、牧、渔业汽油消费总量,工业汽油消费总量,采矿业汽油消费总量,煤炭开采和洗选业汽油消费总量,石油和天然气开采业汽油消费总量,黑色金属矿采选业汽油消费总量,有色金属矿采选业汽油消费总量,非金属矿采选业汽油消费总量,开采专业及辅助性活动汽油消费总量,其他采矿业汽油消费总量,制造业汽油消费总量,农副食品加工业汽油消费总量,食品制造业汽油消费总量,酒、饮料和精制茶制造业汽油消费总量,烟草制品业汽油消费总量,纺织业汽油消费总量,纺织服装、服饰业汽油消费总量,皮革、毛皮、羽毛及其制品和制鞋业汽油消费总量,木材加工及木、竹、藤、棕、草制品业汽油消费总量,家具制造业汽油消费总量,造纸及纸制品业汽油消费总量,印刷和记录媒介复制业汽油消费总量,文教、工美、体育和娱乐用品制造业汽油消费总量,石油、煤炭及其他燃料加工业汽油消费总量,化学原料及化学制品制造业汽油消费总量,医药制造业汽油消费总量,化学纤维制造业汽油消费总量,橡胶和塑料制品业汽油消费总量,橡胶制品业汽油消费总量,塑料制品业汽油消费总量,非金属矿物制品业汽油消费总量,黑色金属冶炼及压延加工业汽油消费总量,有色金属冶炼及压延加工业汽油消费总量,金属制品业汽油消费总量,通用设备制造业汽油消费总量,专用设备制造业汽油消费总量,汽车制造业汽油消费总量,铁路、船舶、航空航天和其他运输设备制造业汽油消费总量,电气机械及器材制造业汽油消费总量,计算机、通信和其他电子设备制造业汽油消费总量,仪器仪表制造业汽油消费总量,其他制造业汽油消费总量,废弃资源综合利用业汽油消费总量,金属制品、机械和设备修理业汽油消费总量,电力、热力、燃气及水生产和供应业汽油消费总量,电力、热力的生产和供应业汽油消费总量,燃气生产和供应业汽油消费总量,水的生产和供应业汽油消费总量,建筑业汽油消费总量,交通运输、仓储和邮政业汽油消费总量,批发和零售业、住宿和餐饮业汽油消费总量,其他汽油消费总量,居民生活汽油消费总量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,13055.3,242.92,296.51,22.32,6.15,7.77,1.17,1.89,1.5,3.84,,249.17,9.9,4.8,4.15,0.44,7.02,5.76,3.59,2.14,3.18,3.1,4.09,4.14,19.74,18.77,5.82,0.8,12.66,,,17.08,3.49,4.28,13.09,17.4,14.05,27.77,7.48,17.45,10.94,4.18,0.88,0.44,0.53,25.01,19.07,2.62,3.32,504.99,6067.62,275.5,2163.56,3504.2
2017,12296.27,229.64,382.1,29.53,7.22,8.9,2.12,4.5,2.72,4.03,0.03,324.05,17.55,7.91,5.04,0.52,13.07,8.96,5.18,4.73,4.62,4.8,6.25,6.64,3.69,28.47,8.16,1.13,17.04,,,23.92,6.61,4.94,17.29,23.86,20.42,34.65,5.89,21.25,13.86,4.74,1.43,0.59,0.85,28.52,21.88,2.87,3.77,452.32,5698.53,244.46,2075.05,3214.17
2016,11866.04,224.39,436.32,36.27,8.88,9.91,3.27,6.95,3.24,3.92,0.09,368.9,23.61,9.5,6.74,0.56,11.99,10.92,6.27,5.94,4.59,5.44,6.45,7.11,3.97,35.06,9.8,1.32,19.89,,,27.04,8.34,5.95,19.78,26.27,22.78,36.07,6.39,24.86,14.09,4.91,1.78,0.67,0.83,31.15,23.88,3.08,4.19,437.26,5511.15,240.86,2046.4,2969.67
2015,11368.46,231.33,477.08,40.39,10.64,11.29,3.73,7.03,3.49,4.13,0.08,403.38,28.48,10.13,6.63,0.63,13.89,11.89,6.87,7.06,5.19,6.14,6.56,8.18,3.26,35.52,10.82,0.95,20.88,,,30.08,11.32,6.67,22.33,31.19,25.93,35.33,7.12,26.45,14.54,5.84,1.7,0.81,0.99,33.31,25.97,3.39,3.94,408.57,5306.59,243.29,2108.47,2593.11
2014,9776.37,216.6,489.04,45.95,12.49,12.67,4.78,6.9,4.19,4.69,0.22,410.57,30.25,10.29,6.92,0.57,14.23,12.25,7.07,6.85,4.92,6.52,6.66,8.22,5.03,37.83,10.79,0.98,22.03,,,29.46,13.09,7.12,21.85,32.05,26.32,32.92,7.56,26.61,14.09,5.0,1.36,0.77,0.95,32.52,26.01,3.04,3.47,331.03,4665.01,217.79,1738.07,2118.82
2013,9366.35,198.72,523.38,52.04,14.41,13.92,5.54,7.15,5.43,5.51,0.08,437.57,32.98,12.59,7.53,0.74,15.45,13.94,7.55,7.66,5.27,8.29,6.29,7.77,4.34,39.47,11.46,1.03,24.06,,,33.15,13.96,7.83,22.86,34.73,26.77,32.08,8.97,27.97,13.83,5.48,1.78,0.63,1.11,33.77,27.28,2.92,3.57,326.46,4381.8,220.86,1818.68,1896.45
2012,8165.9,192.86,581.06,58.02,16.33,14.24,6.32,8.04,5.32,7.69,0.08,489.14,31.08,10.48,8.58,0.86,16.89,17.03,7.94,7.47,5.28,9.05,6.18,7.71,40.82,42.72,11.38,1.1,24.71,,,33.16,13.89,7.71,22.88,39.23,24.88,37.63,9.24,27.96,13.92,4.97,1.84,0.64,1.91,33.9,27.76,2.64,3.5,286.87,3778.03,200.06,1460.51,1666.52
2011,7595.95,185.98,604.81,68.41,22.52,22.46,8.13,9.22,6.06,,0.02,504.66,32.7,11.83,8.77,0.85,21.2,13.59,6.85,7.99,5.7,8.81,6.02,3.14,41.44,45.15,10.39,1.33,23.84,8.24,15.6,33.72,11.13,9.05,22.94,48.15,25.24,48.09,,29.24,15.28,5.59,6.02,0.61,,31.74,25.23,2.98,3.53,282.77,3573.52,177.14,1313.17,1458.56
2010,6956.2,169.07,689.46,66.32,20.11,24.2,7.7,7.59,6.4,,0.32,590.92,38.93,15.74,9.55,0.72,26.96,17.83,8.4,9.29,8.23,11.32,8.33,4.08,36.18,48.2,12.16,1.55,34.02,10.81,23.21,37.47,13.4,10.35,32.95,54.03,29.51,49.21,,36.48,20.31,7.26,7.73,0.73,,32.22,24.64,3.2,4.38,274.7,3274.92,168.18,1166.22,1213.65
