年份,煤炭消费总量,农、林、牧、渔业煤炭消费总量,工业煤炭消费总量,采矿业煤炭消费总量,煤炭开采和洗选业煤炭消费总量,石油和天然气开采业煤炭消费总量,黑色金属矿采选业煤炭消费总量,有色金属矿采选业煤炭消费总量,非金属矿采选业煤炭消费总量,开采专业及辅助性活动煤炭消费总量,其他采矿业煤炭消费总量,制造业煤炭消费总量,农副食品加工业煤炭消费总量,食品制造业煤炭消费总量,酒、饮料和精制茶制造业煤炭消费总量,烟草制品业煤炭消费总量,纺织业煤炭消费总量,纺织服装、服饰业煤炭消费总量,皮革、毛皮、羽毛及其制品和制鞋业煤炭消费总量,木材加工及木、竹、藤、棕、草制品业煤炭消费总量,家具制造业煤炭消费总量,造纸及纸制品业煤炭消费总量,印刷和记录媒介复制业煤炭消费总量,文教、工美、体育和娱乐用品制造业煤炭消费总量,石油、煤炭及其他燃料加工业煤炭消费总量,化学原料及化学制品制造业煤炭消费总量,医药制造业煤炭消费总量,化学纤维制造业煤炭消费总量,橡胶和塑料制品业煤炭消费总量,橡胶制品业煤炭消费总量,塑料制品业煤炭消费总量,非金属矿物制品业煤炭消费总量,黑色金属冶炼及压延加工业煤炭消费总量,有色金属冶炼及压延加工业煤炭消费总量,金属制品业煤炭消费总量,通用设备制造业煤炭消费总量,专用设备制造业煤炭消费总量,汽车制造业煤炭消费总量,铁路、船舶、航空航天和其他运输设备制造业煤炭消费总量,电气机械及器材制造业煤炭消费总量,计算机、通信和其他电子设备制造业煤炭消费总量,仪器仪表制造业煤炭消费总量,其他制造业煤炭消费总量,废弃资源综合利用业煤炭消费总量,金属制品、机械和设备修理业煤炭消费总量,电力、热力、燃气及水生产和供应业煤炭消费总量,电力、热力的生产和供应业煤炭消费总量,燃气生产和供应业煤炭消费总量,水的生产和供应业煤炭消费总量,建筑业煤炭消费总量,交通运输、仓储和邮政业煤炭消费总量,批发和零售业、住宿和餐饮业煤炭消费总量,其他煤炭消费总量,居民生活煤炭消费总量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,397452.0,2363.0,380696.0,26064.0,24234.0,122.0,222.0,137.0,753.0,595.0,,161049.0,1871.0,1619.0,690.0,15.0,951.0,57.0,33.0,108.0,5.0,4272.0,66.0,33.0,48515.0,23504.0,913.0,1330.0,501.0,,,24321.0,29308.0,21888.0,349.0,97.0,48.0,179.0,75.0,37.0,196.0,4.0,4.0,60.0,,193583.0,192239.0,1318.0,27.0,650.0,321.0,2686.0,3021.0,7714.0
2017,391403.0,2834.0,371160.0,25106.0,23874.0,131.0,245.0,105.0,662.0,88.0,1.0,162194.0,2234.0,1526.0,956.0,22.0,3308.0,142.0,94.0,217.0,17.0,4586.0,46.0,75.0,45310.0,24579.0,1184.0,1329.0,670.0,,,27039.0,30443.0,16761.0,256.0,186.0,141.0,273.0,159.0,104.0,108.0,13.0,365.0,49.0,3.0,183860.0,183107.0,730.0,23.0,733.0,353.0,3461.0,3580.0,9283.0
2016,388820.0,2778.0,367435.0,25246.0,23793.0,174.0,283.0,120.0,774.0,97.0,5.0,172342.0,2570.0,1679.0,1091.0,28.0,4211.0,214.0,135.0,326.0,42.0,4603.0,84.0,114.0,46561.0,26916.0,1427.0,1370.0,868.0,,,30691.0,31184.0,15656.0,399.0,244.0,206.0,366.0,92.0,560.0,131.0,20.0,483.0,68.0,4.0,169847.0,169441.0,383.0,22.0,805.0,404.0,3826.0,4081.0,9492.0
2015,399834.0,2625.0,378190.0,30802.0,29103.0,186.0,378.0,199.0,819.0,116.0,2.0,181345.0,2601.0,1617.0,1185.0,43.0,4729.0,257.0,155.0,467.0,57.0,4669.0,81.0,124.0,48069.0,30100.0,1511.0,1090.0,978.0,,,31696.0,33896.0,14769.0,460.0,301.0,287.0,430.0,118.0,731.0,150.0,20.0,687.0,61.0,5.0,166043.0,165422.0,570.0,51.0,878.0,492.0,3864.0,4159.0,9627.0
2014,413633.0,2479.0,392567.0,35170.0,33174.0,195.0,440.0,203.0,997.0,159.0,2.0,179535.0,2779.0,1814.0,1326.0,52.0,2460.0,297.0,162.0,520.0,61.0,4829.0,82.0,130.0,47825.0,27051.0,1392.0,1070.0,1027.0,,,33016.0,35527.0,14448.0,521.0,348.0,339.0,470.0,143.0,660.0,148.0,30.0,937.0,65.0,5.0,177863.0,177098.0,720.0,45.0,914.0,558.0,3767.0,4046.0,9303.0
2013,424426.0,2451.0,403157.0,39165.0,36772.0,481.0,481.0,206.0,1037.0,185.0,3.0,173152.0,3211.0,1961.0,1587.0,62.0,2896.0,315.0,185.0,621.0,71.0,5303.0,69.0,110.0,47649.0,25789.0,1382.0,1123.0,1143.0,,,31633.0,34531.0,9378.0,646.0,412.0,390.0,563.0,285.0,708.0,161.0,41.0,850.0,63.0,13.0,190840.0,189848.0,935.0,57.0,811.0,615.0,3966.0,4136.0,9290.0
2012,411727.0,2266.0,391191.0,43100.0,40786.0,495.0,438.0,220.0,973.0,186.0,2.0,165862.0,3302.0,1866.0,1479.0,67.0,3053.0,347.0,202.0,662.0,76.0,5271.0,64.0,98.0,41838.0,25843.0,1374.0,1049.0,1145.0,,,32205.0,34104.0,7368.0,698.0,452.0,460.0,583.0,307.0,701.0,249.0,45.0,876.0,68.0,11.0,182229.0,181090.0,1075.0,64.0,767.0,614.0,3752.0,3883.0,9253.0
2011,388961.0,2207.0,368916.0,32914.0,30664.0,564.0,447.0,223.0,1016.0,,0.0,163946.0,3381.0,1834.0,1602.0,115.0,3471.0,334.0,177.0,693.0,81.0,5482.0,63.0,37.0,39418.0,24507.0,1357.0,1010.0,1237.0,468.391992585178,353.142630827372,33370.0,33886.0,7275.0,498.0,999.0,577.0,878.0,,783.0,168.0,35.0,618.0,60.0,,172056.0,170949.0,1052.0,55.0,797.0,646.0,3572.0,3612.0,9212.0
2010,349008.0,2147.0,329728.0,27146.0,24893.0,541.0,482.0,212.0,1016.0,,3.0,151519.0,3365.0,1845.0,1587.0,86.0,3710.0,374.0,196.0,699.0,83.0,5242.0,84.0,45.0,35103.0,22379.0,1274.0,921.0,1334.0,508.1,377.96,30844.0,30749.0,6928.0,555.0,1095.0,657.0,932.0,,569.0,192.0,41.0,563.0,67.0,,151064.0,149726.0,1255.0,83.0,731.0,639.0,3192.0,3412.0,9159.0
