年份,燃料油消费总量,农、林、牧、渔业燃料油消费总量,工业燃料油消费总量,采矿业燃料油消费总量,煤炭开采和洗选业燃料油消费总量,石油和天然气开采业燃料油消费总量,黑色金属矿采选业燃料油消费总量,有色金属矿采选业燃料油消费总量,非金属矿采选业燃料油消费总量,开采专业及辅助性活动燃料油消费总量,其他采矿业燃料油消费总量,制造业燃料油消费总量,农副食品加工业燃料油消费总量,食品制造业燃料油消费总量,酒、饮料和精制茶制造业燃料油消费总量,烟草制品业燃料油消费总量,纺织业燃料油消费总量,纺织服装、服饰业燃料油消费总量,皮革、毛皮、羽毛及其制品和制鞋业燃料油消费总量,木材加工及木、竹、藤、棕、草制品业燃料油消费总量,家具制造业燃料油消费总量,造纸及纸制品业燃料油消费总量,印刷和记录媒介复制业燃料油消费总量,文教、工美、体育和娱乐用品制造业燃料油消费总量,石油、煤炭及其他燃料加工业燃料油消费总量,化学原料及化学制品制造业燃料油消费总量,医药制造业燃料油消费总量,化学纤维制造业燃料油消费总量,橡胶和塑料制品业燃料油消费总量,橡胶制品业燃料油消费总量,塑料制品业燃料油消费总量,非金属矿物制品业燃料油消费总量,黑色金属冶炼及压延加工业燃料油消费总量,有色金属冶炼及压延加工业燃料油消费总量,金属制品业燃料油消费总量,通用设备制造业燃料油消费总量,专用设备制造业燃料油消费总量,汽车制造业燃料油消费总量,铁路、船舶、航空航天和其他运输设备制造业燃料油消费总量,电气机械及器材制造业燃料油消费总量,计算机、通信和其他电子设备制造业燃料油消费总量,仪器仪表制造业燃料油消费总量,其他制造业燃料油消费总量,废弃资源综合利用业燃料油消费总量,金属制品、机械和设备修理业燃料油消费总量,电力、热力、燃气及水生产和供应业燃料油消费总量,电力、热力的生产和供应业燃料油消费总量,燃气生产和供应业燃料油消费总量,水的生产和供应业燃料油消费总量,建筑业燃料油消费总量,交通运输、仓储和邮政业燃料油消费总量,批发和零售业、住宿和餐饮业燃料油消费总量,其他燃料油消费总量,居民生活燃料油消费总量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,4536.07,1.28,2688.17,27.94,0.26,25.14,0.05,1.59,0.03,0.87,,2656.1,1.57,2.12,0.59,,4.85,0.52,0.37,0.29,0.16,5.95,0.31,0.44,1878.27,569.5,2.16,1.44,4.21,,,148.21,0.89,20.8,2.72,0.77,0.91,0.54,4.28,2.04,0.77,0.12,0.03,0.94,0.34,4.14,3.93,0.11,0.1,31.83,1795.7,10.05,9.04,
2017,4887.3,1.31,3043.74,31.16,0.36,28.67,0.02,1.4,0.02,0.69,,3007.76,2.24,2.48,2.15,0.13,6.29,0.62,0.37,0.23,0.31,13.22,0.22,0.84,1725.28,1033.29,1.71,3.09,6.12,,,157.46,2.13,27.97,4.51,0.91,1.15,0.57,4.41,2.78,1.0,0.21,0.27,5.31,0.49,4.82,4.61,0.11,0.1,43.24,1771.34,15.15,12.51,
2016,4631.04,1.03,3035.41,38.78,0.5,37.28,0.04,0.03,0.2,0.73,,2989.59,2.12,2.61,1.08,0.32,5.84,0.52,0.53,0.31,0.29,13.68,0.32,0.78,1536.01,1167.54,1.43,3.26,7.25,,,182.67,2.86,41.85,6.66,0.97,1.07,0.53,3.46,2.01,1.37,0.24,0.05,1.48,0.49,7.04,6.38,0.62,0.04,51.91,1511.38,17.25,14.06,
2015,4662.01,0.94,3133.03,31.56,0.43,28.47,0.04,1.51,0.18,0.93,,3092.89,1.78,3.59,0.64,0.42,7.12,0.61,0.93,0.17,0.27,12.1,0.36,0.87,1873.59,903.27,1.38,2.99,7.28,,,207.4,3.8,44.74,6.67,1.13,1.34,0.79,3.91,1.86,2.14,0.31,0.23,0.67,0.53,8.57,8.38,0.16,0.03,53.51,1439.49,18.95,16.08,
2014,4355.47,1.27,2835.74,24.54,0.47,20.89,0.06,1.8,0.2,1.12,,2799.41,2.77,5.54,1.47,0.47,7.93,0.82,1.69,0.14,0.26,12.63,0.5,0.85,1786.61,694.45,1.65,3.56,8.41,,,191.91,5.48,50.8,7.18,1.22,1.02,0.9,3.85,2.65,2.33,0.53,0.02,1.44,0.35,11.79,11.58,0.19,0.02,44.6,1441.37,17.39,15.11,
2013,3953.97,2.05,2421.05,23.79,0.71,19.2,0.03,1.78,0.17,1.9,,2371.0,4.1,5.09,2.04,0.74,7.41,1.34,2.05,0.17,0.25,13.21,0.79,0.71,1398.75,614.58,2.08,5.18,10.24,,,213.88,7.99,53.38,8.39,1.33,0.98,1.26,7.38,4.25,1.97,0.51,0.13,0.39,0.43,26.26,26.04,0.21,0.01,59.46,1428.99,19.07,23.36,
2012,3683.28,1.97,2241.69,16.44,0.92,13.27,0.04,0.05,0.16,2.0,,2202.55,4.67,5.59,3.18,0.97,8.8,2.81,3.35,0.17,0.32,7.18,0.7,1.46,1308.09,501.52,3.35,6.46,10.95,,,231.15,7.88,63.77,7.34,1.51,1.06,1.58,9.26,4.05,3.19,0.36,0.29,1.28,0.26,22.7,22.51,0.19,,27.05,1383.94,8.69,19.94,
2011,3662.8,1.31,2260.15,30.09,1.12,28.71,0.08,0.02,0.16,,,2186.41,6.4,6.38,5.75,1.02,14.76,7.41,3.85,0.17,0.64,13.38,1.51,1.39,1191.77,452.0,4.91,9.52,17.04,6.11,10.93,312.08,9.13,79.03,12.42,4.61,2.55,17.95,,4.11,3.29,0.43,1.75,1.16,,43.65,43.4,0.22,0.03,30.6,1345.16,9.34,16.23,
2010,3758.02,1.14,2377.32,37.33,2.32,34.75,0.07,0.01,0.18,,,2220.15,9.79,13.76,8.26,1.06,22.45,5.31,5.87,0.25,0.58,19.58,2.05,1.73,1033.02,514.56,6.69,15.24,22.83,9.16,13.67,353.57,23.91,97.12,12.47,7.75,3.75,12.5,,7.81,13.67,0.4,2.38,1.8,,119.84,119.43,0.23,0.18,30.76,1326.65,8.62,13.53,
