年份,全国财政支出,中央财政支出,地方财政支出,中央财政支出比重,地方财政支出比重
2019,238858.37,35115.15,203743.2212,,
2018,220904.13,32707.81,188196.32,,
2017,203085.49,29857.15,173228.34,,
2016,187755.21,27403.85,160351.36,,
2015,175877.77,25542.15,150335.62,,
2014,151785.56,22570.07,129215.49,,
2013,140212.1,20471.76,119740.34,,
2012,125952.97,18764.63,107188.34,,
2011,109247.79,16514.11,92733.68,15.1,84.9
2010,89874.16,15989.73,73884.43,17.8,82.2
2009,76299.93,15255.79,61044.14,19.9945006502627,80.0054993497373
2008,62592.66,13344.17,49248.49,21.3190652066872,78.6809347933128
2007,49781.35,11442.06,38339.29,23.0,77.0
2006,40422.73,9991.4,30431.33,24.7172815888486,75.2827184111514
2005,33930.28,8775.97,25154.31,25.8647143495427,74.1352856504574
2004,28486.89,7894.08,20592.81,27.7112735016002,72.2887264983998
2003,24649.95,7420.1,17229.85,30.1018866164029,69.8981133835971
2002,22053.15,6771.7,15281.45,30.71,69.29
2001,18902.58,5768.02,13134.56,30.5,69.5
2000,15886.5,5519.85,10366.65,34.7,65.3
