年份,各项税收,国内增值税,营业税,国内消费税,关税,个人所得税,企业所得税
2019,158000.46,62347.36,,12564.44,2889.13,10388.53,37303.77
2018,156402.86,61530.77,,10631.75,2847.78,13871.97,35323.71
2017,144369.87,56378.18,,10225.09,2997.85,11966.37,32117.29
2016,130360.73,40712.08,11501.88,10217.23,2603.75,10088.98,28851.36
2015,124922.2,31109.47,19312.84,10542.16,2560.84,8617.27,27133.87
2014,119175.31,30855.36,17781.73,8907.12,2843.41,7376.61,24642.19
2013,110530.7,28810.13,17233.02,8231.32,2630.61,6531.53,22427.2
2012,100614.28,26415.51,15747.64,7875.58,2783.93,5820.28,19654.53
2011,89738.39,24266.63,13679.0,6936.21,2559.12,6054.11,16769.64
2010,73210.79,21093.48,11157.91,6071.55,2027.83,4837.27,12843.54
2009,59521.59,18481.22,9013.98,4761.22,1483.81,3949.35,11536.84
2008,54223.79,17996.94,7626.39,2568.27,1769.95,3722.31,11175.63
2007,45621.97,15470.23,6582.17,2206.83,1432.57,3185.58,8779.25
2006,34804.35,12784.81,5128.71,1885.69,1141.78,2453.7087,7039.6
2005,28778.54,10792.11,4232.46,1633.81,1066.17,2094.9104,5343.92
2004,24165.68,9017.94,3581.97,1501.9,1043.77,1737.0555,3957.33
2003,20017.31,7236.54,2844.45,1182.26,923.13,1418.0331,2919.51
2002,17636.45,6178.39,2450.33,1046.32,704.27,1211.7805,3082.79
2001,15301.38,5357.13,2064.09,929.99,840.52,995.2563,2630.87
2000,12581.51,4553.17,1868.78,858.29,750.48,659.6373,999.63
