年份,供水总量,地表水供水总量,地下水供水总量,其他供水总量,用水总量,农业用水总量,工业用水总量,生活用水总量,生态用水总量,人均用水量
2019,6021.2,4982.5,934.2,104.5,6021.2,3682.3,1217.6,871.7,249.6,430.788823186415
2018,6015.5,4952.7,976.4,86.4,6015.5,3693.1,1261.6,859.9,200.9,431.921477960552
2017,6043.4,4945.5,1016.7,81.2,6043.4,3766.4,1277.0,838.1,161.9,435.907515534894
2016,6040.16449527242,4912.4,1056.99591692748,70.8471407941252,6040.2,3768.0,1308.0,821.6,142.6,438.119485154116
2015,6103.2,4969.5,1069.2,64.5,6103.2,3852.2,1334.8,793.5,122.7,445.092691180117
2014,6094.87563788107,4920.46145237036,1116.94273481206,57.4585862442069,6094.856778,3868.977898,1356.100838,766.5785589,103.2003442,446.748574570992
2013,6183.44696198506,5007.29441703348,1126.21555465618,49.9381785,6183.44927499955,3921.51876401778,1406.40478999855,750.103717483088,105.383358148233,455.54297801644
2012,6131.2,4952.8,1133.8,44.6,6131.2,3902.5,1380.7,739.7,108.3,453.9
2011,6107.2,4953.3,1109.1,44.8,6107.2,3743.6,1461.8,789.9,111.9,454.4
2010,6021.99406483069,4881.57198612935,1107.31194940124,33.1161472217006,6021.99477321677,3689.14234840392,1447.30418384033,765.829493480771,119.76527314821,450.173601296009
2009,5965.15146524702,4839.46512486224,1094.52392706598,31.1623680788048,5965.154577,3723.114579,1390.902427,748.1651138,102.9630033,448.042976246622
2008,5909.95,4796.42,1084.79,28.74,5909.95,3663.46,1397.08,729.25,120.16,446.150129656401
2007,5818.6698273416,4723.90036581437,1069.06301650657,25.6993142098766,5818.668804,3599.511107,1403.035982,710.3920078,105.7290012,441.51567121239
2006,5794.9665751969,4706.74712188142,1065.51725420465,22.7021991108389,5794.96901853189,3664.44914860772,1343.76087699127,693.755765668541,93.0032272643684,442.019879066062
2005,5632.98,4572.19,1038.83,21.96,5632.98,3580.0,1285.2,675.1,92.68,432.069769582426
2004,5547.8,4504.2,1026.4,17.2,5547.8,3585.7,1228.9,651.2,82.0,428.0
2003,,,,,,,,,,
2002,,,,,,,,,,
2001,,,,,,,,,,
2000,,,,,,,,,,
