年份,林业重点工程造林面积,天然林保护工程造林面积,退耕还林工程造林面积,三北及长江流域等防护林建设工程造林面积,京津风沙源治理工程造林面积,速生丰产用材林基地建设工程造林面积
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,,,,,,
2013,,,,,,
2012,,,,,,
2011,3093865.0,553564.0,730177.0,1264026.0,545191.0,907.0
2010,3669648.0,885479.0,982617.0,439126.0,1360649.0,1777.0
2009,4596244.0,1360913.0,886666.0,1893077.0,434817.0,20771.0
2008,3438150.0,1009016.0,1190347.0,765770.0,469042.0,3975.0
2007,2681646.0,732882.0,1056020.0,574219.0,315132.0,3393.0
2006,1866807.2,224199.0,1048469.0,360699.2,219714.0,13726.0
2005,3431406.67,424808.4,2203169.3,368201.97,418507.0,16720.0
2004,5188054.64,641446.0,3568185.27,448319.8,473271.57,56832.0
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,,,,,,
