年份,森林病虫鼠害发生面积,森林病虫鼠害防治面积,森林病虫鼠害防治率,森林病害发生面积,森林病害防治面积,森林病害防治率,森林虫害发生面积,森林虫害防治面积,森林虫害防治率,森林鼠(兔)害发生面积,森林鼠(兔)害防治面积,森林鼠(兔)害防治率
2019,1236.7658,1015.3145,82.09,229.5391,165.18,,811.4644,701.3153,,178.0251,138.521,
2018,1219.5249,948.9279,77.8112771621145,176.8711,134.5403,,840.4058,665.249,,184.3971,138.6034,
2017,1253.124496,962.170412,76.7817096442746,133.086296,101.708517,,905.965795,714.402678,,194.19628,133.242726,
2016,1211.34293593528,833.817337230469,68.8341271901402,138.887145481935,95.8952112093996,,857.023384173338,615.026153450698,,195.513466613339,112.127046164571,
2015,1218.35038666667,877.7692120423,72.0457121078136,139.050593333333,97.7130439753667,,846.64068,620.923719242833,,214.822053333333,150.188212157433,
2014,1206.44674231879,787.43333481835,65.2688019451986,137.277759682243,86.71094072587,,841.281046079137,599.537350523603,,211.600249154073,96.0292477355434,
2013,1223.04519270446,766.830877044013,62.6984907522804,139.17189786549,89.8786802616467,,847.4599710595,589.558889406033,,224.252989019333,82.966239343,
2012,1176.8988,782.5928,66.4961847186861,131.1633,84.255,,846.2864,572.9317,,199.4491,125.4061,
2011,1168.1424,728.4974,62.3637494880761,119.7227,79.2275,66.175837998976,845.9102,546.5759,64.6139389263778,202.5095,102.694,50.7107073989121
2010,1164.243,812.3614,69.7759316568792,129.0648,89.5555,69.388012843161,852.3175,628.6974,73.7632865686789,182.8607,94.1085,51.464584790499
2009,1141.971372,819.383729,71.7516873969412,103.123621,81.875326,79.3953171989568,850.299279,638.144679,75.0494202171374,188.548472,99.363724,52.6992995201786
2008,1141.83773333333,783.9583,68.6575926783759,116.8315,90.4791333333333,77.4441253714395,843.192133333333,590.2282,69.9992536299754,181.8141,103.250966666667,56.7893065865995
2007,1209.68318533333,801.203833333333,66.2325345220499,110.946706666667,85.8780933333333,77.4048152608526,887.717012,604.530873333333,68.0995030129414,211.019466666667,110.794866666667,52.5045714581783
2006,1100.6671,735.4682,66.8202523816022,103.8669,71.8006,69.1275083785114,829.8667,557.2008,67.1434179903131,166.9335,106.4668,63.7779714676802
2005,961.028133333333,640.749400333333,66.6733239235036,101.2022,70.615667,69.7768101879208,726.093666666667,498.511233333333,68.6566012373978,133.732366666667,71.6225,53.5565935047885
2004,944.83724,639.5228,68.0,75.787441,56.7132,75.0,744.032877,494.854,67.0,125.016924,87.955674,70.3550136939859
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
