年份,企业数,采矿业企业数,制造业企业数,电力、热力、燃气及水生产和供应业企业数,建筑业企业数,批发和零售业企业数,交通运输、仓储和邮政业企业数,住宿和餐饮业企业数,信息传输、软件和信息技术服务业企业数,房地产业企业数,租赁和商务服务业企业数,科学研究和技术服务业企业数,水利、环境和公共设施管理业企业数,居民服务、修理和其他服务业企业数,教育企业数,卫生和社会工作企业数,文化、体育和娱乐业企业数
2019,1039765,9743,346562,13642,113944,234752,38575,50627,22077,112782,38930,22544,5471,7255,5145,6318,11398
2018,985463,9716,343681,11798,106510,207906,40039,45884,20700,109953,33542,20753,5897,6779,5544,6212,10549
2017,967343,10670,344979,11176,99356,199775,40053,45347,19371,105911,34739,21493,5815,7314,5583,5779,9982
2016,943843,11939,348812,10448,94422,191624,38746,45160,16342,103190,33003,20538,5336,6515,4986,5057,7725
2015,913481,13717,351138,9912,91363,180428,36642,43967,13802,98605,29836,18944,4729,5626,4362,4238,6172
2014,905722,15654,347376,9211,92626,180535,35187,44921,12542,98837,28525,18110,4318,5172,3623,3722,5363
2013,853705,16606,335108,8427,88655,169402,30804,43809,11087,90825,25659,15649,3595,4132,2739,2946,4262
2012,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
