年份,公路营运汽车拥有量,公路营运载客汽车拥有量,公路营运汽车客位数,公路营运载货汽车拥有量,公路营运普通载货汽车拥有量,公路营运载货汽车吨位数,公路营运普通载货汽车吨位数
2019,1165.4925,77.671,2002.5278,1087.8215,489.7736,135870040.0,44792452.0
2018,1435.4795,79.6595,2048.1139,1355.82,816.763,128729734.0,47912051.0
2017,1450.2215,81.605,2099.1807,1368.6165,902.9008,117748131.0,48683971.0
2016,1435.7741,84.0036,2140.2638,1351.7705,946.0321,108267789.0,48438281.0
2015,1473.1192,83.9287,2148.5793,1389.1905,1011.8719,103665006.0,49824986.0
2014,1537.932,84.5759,2189.5471,1453.3561,1091.3213,102924686.0,52414465.0
2013,1504.7322,85.2566,2170.2588,1419.4756,1080.7508,96139137.0,50083378.0
2012,1339.8917,86.7055,2166.5517,1253.1862,1184.5813,80621408.0,69632860.0
2011,1263.7525,84.3412,2086.6567,1179.4113,1116.3639,72612001.0,62735114.0
2010,1133.3221,83.1319,2017.0891,1050.1902,996.4252,59998178.0,52232319.0
2009,1087.3515,180.7909,2799.7148,906.5606,859.2746,46552291.0,40027959.0
2008,930.6056,169.6399,2560.3642,760.9657,720.1778,36862022.0,31397612.0
2007,849.2237,164.7297,2428.8089,684.494,648.0073,31356868.0,26437426.0
2006,802.5774,161.9219,2312.4073,640.6555,598.4341,28226852.0,23431340.0
2005,733.2202,128.4011,1859.2832,604.8191,580.2777,25377528.0,22821481.0
2004,1067.1796,439.0901,3872.2112,628.0895,604.9287,23386067.0,21196419.0
2003,924.6393,352.1877,3430.6397,572.4516,553.2333,19415184.0,17888551.0
2002,826.34,289.55,2972.32,536.78,520.27,18084500.0,16747900.0
2001,764.3869,255.1167,2701.6799,509.2702,496.6455,17335780.0,16214034.0
2000,702.8179,216.8093,2524.45,486.02,475.24,16677000.0,15737292.0
