年份,货运机车日产量,内燃机车日产量,电力机车日产量,货运机车平均牵引总重,内燃机车平均牵引总重,电力机车平均牵引总重,货运机车日车公里,客运机车日车公里,内燃机车万吨公里耗油,电力机车万吨公里耗电,货物列车出发正点率,货物列车运行正点率,旅客列车出发正点率,旅客列车运行正点率,旅客列车技术速度,旅客列车旅行速度,客运密度,货物列车技术速度,货物列车旅行速度,货运密度,货车周转时间,一次货物作业时间,货车中转停留时间,货车静载重(准轨),货车静载重利用率
2019,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,
2014,143.4,107.1,157.7,3535.0,2998.0,3715.0,503.0,922.0,27.2,103.3,95.4,95.5,99.8,99.1,84.9,75.0,1323.0,49.9,35.6,3493.0,4.68,16.6,4.7,64.6,100.5
2013,139.7,106.0,154.3,3548.0,2973.0,3768.0,493.0,883.0,27.3,101.9,95.3,95.7,99.8,99.0,82.1,72.6,1314.0,48.6,34.3,3787.0,4.7,17.2,4.8,64.4,99.7
2012,138.3,109.9,152.5,3530.0,2988.0,3776.0,491.0,880.0,26.8,102.1,95.2,95.0,99.8,99.1,80.0,70.8,1200.0,48.3,33.8,3798.476,4.68,16.4,4.7,64.0,100.0
2011,138.5,109.5,155.1,3508.0,2964.0,3790.0,494.0,888.0,26.5,100.6,95.7,95.3,99.9,99.2,81.0,71.5,1234.5,48.4,34.0,3929.0,4.45,16.1,4.5,63.6,100.0
2010,135.0,130.0,184.4,3467.0,3584.0,4522.0,489.0,882.0,26.4,102.4,95.8,95.2,99.7,99.0,80.6,70.8,1194.0,47.9,33.4,3747.0,4.48,16.2,4.5,63.1,99.8
2009,128.6,110.9,145.2,3391.0,3002.0,3736.0,487.0,860.0,25.2,107.9,96.5,96.4,99.8,99.0,80.3,70.2,1197.12479577347,47.6,32.8,3611.16489288605,4.68,16.9,4.7,62.6,99.7
2008,123.6,110.3,139.5,3289.0,2970.0,3654.0,483.0,812.0,24.9,110.6,96.9,96.8,99.7,98.9,80.1,69.6,1210.0,47.2,32.8,3697.0,4.73,17.6,4.6,62.0,99.4
2007,120.4,110.4,132.8,3193.0,2920.0,3528.0,480.0,758.0,24.6,109.5,97.2,97.0,99.8,99.1,78.8,68.9,1084.0,47.6,33.2,3475.0,4.76,15.5,4.3,61.3,99.2
2006,114.3,108.5,122.7,3105.0,2887.0,3425.0,465.0,671.0,24.3,110.0,97.4,97.3,99.8,99.4,74.7,65.4,1002.0,46.2,32.1,3242.0,4.87,15.2,4.4,60.9,99.2
2005,110.6,105.6,118.3,3038.0,2848.0,3335.0,458.0,650.0,24.6,111.8,97.0,96.9,99.5,98.4,74.2,65.2,938.0,46.3,32.1,3140.0,4.9,15.2,4.3,60.1,98.7
2004,108.7,103.4,117.1,2934.0,2768.0,3198.0,455.0,612.0,25.0,111.2,96.5,96.2,99.8,95.9,73.7,64.4,903.0,46.7,32.2,2997.0,4.94,17.2,4.4,59.3,98.0
2003,105.8,101.4,112.8,2829.0,2679.0,3071.0,450.0,562.0,25.4,110.0,96.9,96.5,99.7,96.5,71.7,62.2,765.0,47.1,32.8,2726.0,5.1,20.9,4.5,58.3,96.5
2002,102.2,99.3,106.8,2789.0,2648.0,3028.0,445.0,557.0,25.9,110.8,97.3,96.7,99.8,97.6,71.4,62.0,807.0,47.1,32.4,2533.0,5.1,21.2,4.6,58.2,96.7
2001,99.9,100.7,100.7,2760.0,2668.0,2985.0,437.0,533.0,25.7,113.1,97.2,96.8,99.8,96.9,69.5,60.5,785.0,46.7,39.5,2412.0,5.08,22.0,4.6,58.1,97.3
2000,99.4,101.1,99.6,2676.0,2608.0,2869.0,443.0,521.0,25.8,113.2,97.2,96.8,99.8,97.1,66.6,56.8,753.0,46.4,31.8,2274.0,5.39,23.1,4.7,57.9,97.1
