年份,旅客运输平均运距,铁路旅客运输平均运距,公路旅客运输平均运距,水运旅客运输平均运距,民用航空旅客运输平均运距
2019,200.798232930439,401.8183245868,68.0699644704992,29.4201143517178,1773.70661713713
2018,190.755772074344,419.164614431812,67.8750700847445,28.4381548045501,1751.12900574818
2017,177.4988782961,436.375547572995,67.032430641863,27.442828164306,1724.7473819347
2016,164.50139647916,447.017045234515,66.3014108500765,26.5570569592023,1716.96995349072
2015,154.681967157437,471.848491423522,66.3496905991426,26.996158392435,1669.6206382686
2014,140.964868070149,487.800485984553,63.3354835365467,28.2742478264312,1616.07604484521
2013,129.8717076154,503.123158500756,60.7022800023524,29.0344593159125,1598.10680989092
2012,87.7570520711019,518.247088350356,51.918735117416,30.0866340478409,1573.68758356642
2011,87.8650864075849,516.162608622653,51.0015963629946,30.3504235217462,1547.57164648459
2010,85.3163693001397,522.774854430122,49.2043938916474,32.2749642729546,1508.82523672208
2009,83.4255758490532,516.813833045738,48.6183652077791,31.0926772429865,1464.20625705885
2008,80.8841430610798,532.078324475954,46.5159754581647,29.1037670896036,1497.47128140388
2007,96.9250238734923,531.901673177563,56.1119570093823,34.0610028465076,1502.84992345479
2006,94.840491323144,527.004915916501,54.4526556756376,33.3752891549871,1484.64619658628
2005,94.57,524.47,54.74,33.5,1479.0
2004,92.27,511.09,54.0,34.8,1470.0
2003,87.0,492.0,53.0,37.0,1442.0
2002,88.0,471.0,53.0,44.0,1476.0
2001,85.7500250957877,453.311777851743,51.38,48.21,1450.0
2000,82.9,431.0,49.0,51.8,1443.7
