年份,民用航空旅客运输量,国际航线旅客运输量,国内航线旅客运输量,港澳台地区航线旅客运输量,民用航空旅客周转量,国际航线旅客周转量,国内航线旅客周转量,港澳台地区航线旅客周转量,民用航空货物运输量,国际航线货物运输量,国内航线货物运输量,港澳台地区航线货物运输量,民用航空货物周转量,国际航线货物周转量,国内航线货物周转量,港澳台地区航线货物周转量,民用航空客货总周转量,国际航线客货总周转量,国内航线客货总周转量,港澳台地区航线客货总周转量,民用航空飞机通用飞行时间,民用航空飞机农林业航空作业通用飞行时间,民用航空飞机航空护林作业通用飞行时间,民用航空飞机播种造林作业通用飞行时间,民用航空飞机工业航空作业通用飞行时间
2019,65993.4231,7425.4319,58567.9912,1107.56,11705.297124,3185.081534,8520.21559,160.461273,753.14261,241.90502,511.23759,22.2169,263.199032,184.61095,78.588102,2.805696,1293.252999,463.742569,829.51043,16.89544,1065011,,,,
2018,61173.7718,6367.2704,54806.5014,1127.0874,10712.316619,2822.61354,7889.703079,165.052496,738.50984,242.72343,495.78641,23.48073,262.499107,187.028965,75.470141,3.014951,1206.527622,435.018886,771.508736,17.512959,937149,,,,
2017,55156.1108,5544.908,49611.2028,1026.8761,9513.03577,2476.509546,7036.526224,148.248494,705.89208,222.07764,483.81443,24.15021,243.552295,170.586732,72.965562,3.051172,1083.075098,388.47525,694.599848,16.09598,837496,59578.0,15476.0,1157.0,89336.0
2016,48796.0477,5162.2759,43633.7718,984.7219,8378.134775,2160.38499,6217.749785,144.103348,668.01047,193.19205,474.81842,21.96081,222.449337,150.338578,72.110759,2.750463,962.510732,340.583377,621.927355,15.431569,764685,51028.0,11943.0,733.0,82875.0
2015,43618.0,4206.957,39411.4399,1019.7199,7282.5513,1716.835896,5565.715362,151.776802,629.2942,186.84437,442.44979,22.10141,208.0683,141.142539,66.92579,2.846462,851.651647,292.610692,559.040955,16.220117,778408,42064.0,10245.0,1394.0,85468.0
2014,39194.8776,3154.979,36039.8986,1005.2388,6334.190277,1316.800968,5017.389309,149.663862,594.09882,168.4272,425.67162,22.3332,187.771491,123.718188,64.053303,2.993145,748.115589,240.111734,508.003855,16.173279,674944,38220.0,7026.0,956.0,84259.0
2013,35396.6301,2654.7972,32741.8329,903.8819,5656.759561,1145.755359,4511.004202,131.748799,561.25263,154.531,406.72163,19.85613,170.29181,109.174228,61.117582,2.615645,671.723085,210.675691,461.047394,14.227573,590890,34118.0,6574.0,1178.0,96354.0
2012,31936.0505,2335.8128,29600.2377,833.6793,5025.736614,991.97979,4033.756824,123.884929,545.03422,156.51695,388.51727,20.7678,163.889362,106.452741,57.436621,2.712046,610.321689,194.488066,415.833623,13.664757,517037,31873.0,7453.0,1315.0,77075.0
2011,29316.6582,2118.0527,27198.6055,760.1877,4536.9629,878.051163,3658.911777,111.616689,557.477,178.04267,379.43522,21.00276,173.91,118.752683,55.160387,2.760693,577.44274,196.835241,380.607499,12.642512,502731,33158.0,9211.0,2010.0,56682.0
2010,26769.1437,1931.4303,24837.7134,672.374,4038.995958,758.932487,3280.063471,98.181728,563.03705,192.63149,370.40556,21.6603,178.89816,125.302793,53.595367,2.870019,538.44897,192.968914,345.480056,11.589537,391135,29619.0,7748.0,1419.0,65430.0
