年份,民用机动运输船数,民用机动船净载重量,民用机动船载客量,民用机动船拖船功率,民用驳船运输船数,民用驳船净载重量,民用驳船载客量
2019,121440,248626381.0,882764,1422199,10115,8223366,3044
2018,125754,242447129.0,960245,1465403,11221,8705726,3044
2017,131746,246750827.0,964377,1532698,13178,9765519,3122
2016,144568,255170820.0,999008,1445786,15576,11056320.0,3124
2015,149659,261434867.0,1015939,1424426,16246,11007996.0,1391
2014,154974,247399826.0,1030973,1424950,17003,10452402.0,1334
2013,155340,234317614.0,1031711,1235661,17214,9692720,1287
2012,158309,218793742.0,1021260,1531873,20282,9692502,3798
2011,157950,202602789.0,1004622,1600896,21292,10040453.0,3768
2010,155624,168985654.0,1001395,1410719,22783,11422911.0,2260
2009,149367,133384848.0,979384,1120381,27565,12702991.0,2166
2008,152247,111047702.0,994495,1564439,31943,13121439.0,14050
2007,157544,106441173.0,1004546,1520924,34227,12373412.0,22316
2006,157805,98241489.0,1025861,1538957,36555,12015595.0,33355
2005,165900,90756392.0,977846,1480381,41394,11030057.0,33496
2004,166854,75114059.0,961562,1197191,43846,11058522.0,34666
2003,163813,60745234.0,971514,1269607,40457,9871079,30631
2002,165936,48372587.0,945387,1433547,37041,8683075,33405
2001,169329,45526726.0,1048915,1370221,41457,8968670,27902
2000,185018,42640605.0,1014013,1439743,44658,8640504,18258
