年份,沿海主要港口万吨级泊位数,大连港口万吨级泊位数,营口港口万吨级泊位数,秦皇岛港口万吨级泊位数,天津港口万吨级泊位数,烟台港口万吨级泊位数,青岛港口万吨级泊位数,日照港口万吨级泊位数,上海港口万吨级泊位数,连云港港口万吨级泊位数,宁波—舟山港口万吨级泊位数,汕头港口万吨级泊位数,广州港口万吨级泊位数,湛江港口万吨级泊位数,海口港口万吨级泊位数,八所港口万吨级泊位数,港口生产用万吨级泊位数,大连港口生产用万吨级泊位数,营口港口生产用万吨级泊位数,秦皇岛港口生产用万吨级泊位数,天津港口生产用万吨级泊位数,烟台港口生产用万吨级泊位数,青岛港口生产用万吨级泊位数,日照港口生产用万吨级泊位数,上海港口生产用万吨级泊位数,连云港港口生产用万吨级泊位数,宁波—舟山港口生产用万吨级泊位数,汕头港口生产用万吨级泊位数,广州港口生产用万吨级泊位数,湛江港口生产用万吨级泊位数,海口港口生产用万吨级泊位数,八所港口生产用万吨级泊位数
2019,2076,104,61,44,118,97,87,71,185,59,190,19,75,36,34,9,2076,104,61,44,118,97,87,71,185,59,190,19,75,36,34,9
2018,2019,104,61,44,120,91,85,64,224,59,178,19,96,36,34,9,1942,104,61,44,120,91,85,64,181,59,178,19,73,36,34,9
2017,1913,104,61,44,122,89,84,63,181,57,171,19,76,36,34,9,1892,104,61,44,117,89,84,63,172,57,171,19,73,36,33,9
2016,1814,103,61,44,121,65,78,52,182,57,163,19,76,35,26,9,1793,103,61,44,116,65,78,52,172,57,163,19,73,35,25,9
2015,1750,103,57,44,118,59,75,47,188,57,157,19,74,33,16,9,1723,103,57,44,113,59,75,47,174,57,157,19,71,33,15,9
2014,1633,98,54,44,106,59,68,45,170,53,150,19,71,30,16,9,1614,98,54,44,106,59,68,45,156,53,150,19,69,30,15,9
2013,1524,96,50,42,102,59,66,44,170,44,146,19,68,30,11,9,1524,96,50,42,102,59,66,44,156,44,146,19,66,30,10,9
2012,1453,93,49,42,101,56,63,45,152,41,137,18,66,31,10,8,1453,93,49,42,101,56,63,45,152,41,137,18,66,31,10,8
2011,1366,79,44,42,98,53,59,41,150,38,129,18,65,31,10,8,1366,79,44,42,98,53,59,41,150,38,129,18,65,31,10,8
2010,1293,78,38,42,95,46,59,40,150,38,120,18,60,31,10,8,1293,78,38,42,95,46,59,40,150,38,120,18,60,31,10,8
2009,1214,78,34,42,80,45,57,39,148,40,108,17,58,30,10,7,1214,78,34,42,80,45,57,39,148,40,108,17,58,30,10,7
2008,1076,76,33,42,75,42,48,32,137,31,94,17,56,29,3,7,1076,76,33,42,75,42,48,32,137,31,94,17,56,29,3,7
2007,967,74,30,42,71,39,48,31,80,32,84,16,61,29,3,7,967,74,30,42,71,39,48,31,80,32,84,16,61,29,3,7
2006,883,73,25,42,65,25,42,27,80,29,60,16,57,29,3,6,883,73,25,42,65,25,42,27,80,29,60,16,57,29,3,6
2005,769,57,15,38,54,23,40,24,78,27,48,16,49,29,2,6,769,57,15,38,54,23,40,24,78,27,48,16,49,29,2,6
2004,687,57,16,33,52,21,37,19,74,27,26,16,37,29,2,6,687,57,16,33,52,21,37,19,74,27,26,16,37,29,2,6
2003,650,55,16,27,52,21,36,17,82,26,23,13,32,25,2,6,650,55,16,27,52,21,36,17,82,26,23,13,32,25,2,6
2002,547,40,16,26,52,19,32,11,74,25,19,8,32,25,2,6,547,40,16,26,52,19,32,11,74,25,19,8,32,25,2,6
2001,527,39,16,26,50,19,32,10,71,25,19,8,32,24,2,6,527,39,16,26,50,19,32,10,71,25,19,8,32,24,2,6
2000,518,39,16,26,49,15,30,10,70,25,20,6,32,24,2,6,518,39,16,26,49,15,30,10,70,25,20,6,32,24,2,6
