年份,电话普及率(包括移动电话),移动电话普及率,每千人拥有公用电话数,开通互联网宽带业务的行政村比重,互联网普及率
2019,128.022384914824,114.377693653798,,,64.5
2018,126.000242801244,112.234494617954,,,59.6
2017,115.910199916552,101.971647674954,9.05199269106814,,55.8
2016,110.548037260163,95.6046025558505,10.0564015592568,96.6974193548387,53.2
2015,109.295201582983,92.4908265557027,12.3532321659804,94.8,50.3
2014,112.260657835095,94.0250489099443,15.0377015981635,93.5,47.9
2013,109.948996781116,90.3281296666471,16.4134766888118,91.0,45.8
2012,103.1,82.5,17.4,87.9,42.1
2011,94.81,73.55,18.41,84.0,38.3
2010,86.41,64.36,19.45,80.11,34.3
2009,79.89,56.27,20.4,,28.9
2008,74.29,48.53,20.98,,22.6
2007,69.45,41.64,22.76,,16.0
2006,63.4,35.3,22.64,,10.5
2005,57.22,30.26,20.63,,8.5
2004,50.03,25.91,17.14,,7.3
2003,42.16,21.02,12.2,,6.2
2002,33.67,16.14,7.67,,4.6
2001,26.55,11.47,2.71,,
2000,19.1,6.72,2.2,,
