年份,营业网点,快递营业网点,信筒信箱数量,农村投递路线,城市投递路线,邮路总长度,航空邮路总长度,铁路邮路总长度,汽车邮路总长度
2019,318516,,119234,4198813,2209984,12227021.0,8724542,207900,3282155
2018,274635,,122060,4030582.2,1711862.1,9851314.8,6544859,220980,3072495.8
2017,278025,,125409,3805331.57,1628445.87,9384667.8,5996105,215205,3156199.2
2016,216708,,127678,3767660.23,1474841.22,6585048.71,3712222,203729,2644714.13
2015,188637,183270.0,129572,3756042.82,1371040.67,6376429.46,3558820.65,218014,2486461.31
2014,137562,130456.0,142330,3775875.38,1435111.44,6305555.83,3622873,232976,2361996.98
2013,125115,117651.0,147351,3744733.32,1282319.34,5897228.82,3334949,395809,2070846.97
2012,95572,89052.0,150271,3731657.16,1327673.89,5855106.69,3160292,320144.01,2289076.88
2011,78667,75262.0,148206,3632579,1171464,5140271.51,2718291.5,309027,2017482.75
2010,75739,64394.0,171043,3690561.31,1461321,4635568.79,2529232,269700.01,1753027.28
2009,65672,35783.0,206597,3676051,1324378,4027751.0,2178332,248876,1450782
2008,69146,48157.0,224023,3656936,1111749,3693464.0,1908316,236860,1385102
2007,70655,46981.0,195336,3637553,1024046,3532980.0,1855335,211534,1302915
2006,62799,,197491,3566982,985785,3369392.0,1777368,204733,1230633
2005,65917,,202259,3565226,941286,3406226.0,1813959,200180,1229802
2004,66400,,222946,3530500,0,3336400.0,1762990,195998,1194600
2003,63600,,275962,3531800,0,3270200.0,1756337,191351,1137500
2002,76400,,217541,3511200,0,3081000.0,1601388,177685,1112800
2001,57100,,225846,3492800,0,3102600.0,1636435,180399,1074100
2000,58437,,239356,3364498,0,3073331.0,1597044,184925,1070304
