年份,邮电业务总量,邮政业务总量,电信业务总量,函件数,包裹数,报刊期发数,汇票业务,集邮业务量,固定本地电话通话时长,固定电话长途通话时长,移动短信业务量,移动电话通话时长,移动电话去话通话时长,移动电话非漫游去话通话时长,移动电话国内漫游去话通话时长,移动电话国际及港澳台漫游去话通话时长,移动电话漫游国家和地区,移动电话年末用户,3G移动电话用户,固定电话年末用户,城市电话年末用户数,城市住宅电话年末用户数,农村电话年末用户数,农村住宅电话年末用户数,公用电话用户
2019,,16229.6302523082,106810.67388,21.71,2155.03,11428.99,1639.65,91800.89,,,15066.39044039,478261750.102469,239292131.271361,,,,261,160134.4865,5876.2574,19103.2547,,,,,
2018,,12345.1941837268,65633.91,26.710075,2407.63,12458.19,2520.02,118076.3912,,,11398.639892,511251988.98,254415034.19,,,,260,156609.77,14018.32,19208.45,13862.34,,5346.2,,
2017,,9763.71,27596.736887,31.484101,2657.2,12572.8,3743.41,140219.4379,15278790.15,3141181.51,6641.391989,540046917.07,269041523.02,234243627.02,34739379.66,57949.68,262,141748.748,13463.181,19375.7027,14730.81,7358.7634,4644.8973,3605.3732,1258.2994
2016,,7397.2391372024,15616.95,36.19483,2794.01,13617.52,5804.37,154320.6478,18763622.8,4008413.86,6670.86363685,565989901.62,280728175.61,246373110.14,34292872.61,62192.87,258,132193.44,17080.49,20662.44,15619.2,8012.3,5043.26,3982.74,1390.5
2015,28425.0,5078.7216089532,23346.3,45.814216,4243.38,15539.53,8241.67,157000.7766,22511123.05,4725601.05,6991.758415,576489037.88,284998577.73,250695767.69,34228875.87,73934.17,255,127139.74,27573.0,23099.63,17320.8,9240.8,5778.88,4659.04,1698.1
2014,21834.41,3696.082804,18138.33,56.095567,6024.1521,14936.76,12527.38,138990.4164,26139373.09,5300999.95,7674.236382,590127141.3,292701007.53,258656250.48,33960882.83,83882.99,258,128609.34,48525.51,24943.03,17627.9,9896.08,7315.09,5769.17,2056.89
2013,18432.24,2725.0843627544,15707.152689,63.4148774,6924.9,15140.9,18520.58,118335.3,30230948.8,5905540.1,8921.01533,582296720.7,289877326.8,259109941.1,30686663.2,80722.6,258,122911.3,40161.1,26698.5,18456.8,10474.3,8241.7,6643.4,2233.4
2012,15019.3,2036.83928250541,12982.4422,70.74049795,6875.5048,15401.648045,22913.4,118276.0,35776867.0,7007052.4,8973.1094,554448851.0,276034571.0,249997248.0,25970527.0,66796.1,258,111215.5176,23280.3462,27815.2913,18893.4,11013.1786,8921.8808,7315.7714,2347.1425
2011,13333.49,1607.71311998539,11725.78,73.784045,6883.0002,15007.6506,26474.25,102857.5,42274481.6,8569411.9,8790.04093,504726258.9,250560092.0,230831922.2,19673502.0,54667.8,258,98625.3,12842.4,28509.8,19121.7,11411.6,9388.1,7861.2,2468.3
2010,31978.48,1985.301091917,29993.18,74.01409503,6642.5198,17158.3112,28043.2161,114622.5,0.0,10689000.0,8277.45846,432612342.5,211290489.0,197620758.0,13628293.0,41437.0,239,85900.3,4705.1,29434.2,19658.1,11973.4,9776.1,8325.0,2595.9
2009,27193.4610526305,1639.88317263052,25553.57788,75.32448,7229.63,13909.52,27177.36,110088.49516,0.0,13146000.0,7726.47577,353510212.2,0.0,0.0,0.0,0.0,237,74721.4,1232.2,31373.2,21190.0,12969.5,10183.2,8813.3,2708.8
2008,23649.52218,1401.8,22247.72218,73.63,7936.7,15658.3,26404.2,131873.0,0.0,16558000.0,6996.892,293556416.0,0.0,0.0,0.0,0.0,237,64124.512,,34035.9,23155.9,15588.3,10880.0,9612.2,2771.5
2007,19805.03,1213.72723697019,18591.33392,69.50344,9103.3,13030.6,22875.2,113656.7,0.0,17567000.0,5945.7888,230613264.0,0.0,0.0,0.0,0.0,231,54730.586,,36563.7,24859.8,16988.2,11704.0,10533.1,2991.9
2006,15325.9,730.4929,14595.37549,71.312323,9317.5,14372.7,18928.0,104580.9,0.0,17426000.0,4295.366,168706512.0,0.0,0.0,0.0,0.0,219,46105.8016,,36778.5613,25132.9,17697.57031,11645.62867,10561.5184,2960.7136
2005,12028.54,625.52,11403.02,73.51,9531.8,14601.3,16052.0,121214.0,,8942000.0,3046.343,125074256.0,0.0,0.0,0.0,0.0,203,39340.576,,35044.5,23975.3,17201.2,11069.2,10023.9,2681.2
2004,9712.3,564.3,9148.0,82.8,9948.7,14789.0,17895.4,149178.0,,7416000.0,2170.5,94547000.0,,,,,184,33482.4,,31175.6,21025.1,15246.5,10150.5,9240.5,2215.0
2003,7019.79,541.04,6478.75,103.8,11029.4,16594.0,20442.0,183421.0,,5875000.0,1386.3,63089000.0,,,,,155,26995.3,,26274.7,17109.7,12533.9,9165.0,8389.7,1561.4
2002,5695.8,494.69,5201.12,106.01,10537.9,17620.0,21080.0,244159.0,,5399000.0,583.3,41840000.0,,,,,116,20600.5,,21422.2,13579.1,10196.7,7843.1,7183.8,985.5
2001,4556.26,457.42,4098.84,86.93,9931.2,21811.0,21399.7,344114.0,,6282000.0,,29045000.0,,,,,90,14522.2,,18036.8,11193.7,8535.3,6843.1,6197.7,346.2
2000,4792.7,232.8,4559.9,77.71,9600.3,20089.7,22475.0,453500.0,,6715000.0,,18453000.0,0.0,0.0,0.0,0.0,,8453.3,,14482.9,9311.6,7219.4,5171.3,4597.8,352.0
