年份,京沪线客运量,新石线客运量,沪昆线客运量,鹰厦线客运量,京九线客运量,京广线客运量,石太线客运量,石德线客运量,焦柳线客运量,京包线客运量,包兰线客运量,北同蒲线客运量,南同蒲线客运量,陇海线客运量,宝中线客运量,兰新线客运量,兰青、青藏线客运量,宝成、成渝线客运量,襄渝线客运量,南昆线客运量,成昆线客运量,京哈线客运量
2019,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,
2014,8817.5512,,10863.7603,642.4209,8405.0005,15969.3927,1201.9311,664.8705,1756.082,1475.486,1162.4339,1491.3758,1514.436,10473.5563,,2537.7271,891.917,3376.3595,1582.0313,,1184.3869,8102.9957
2013,8217.7448,,10463.7217,1464.0468,7520.2123,15489.4429,1070.3865,636.8119,1793.4927,2486.0978,1058.6525,1425.2466,2124.6402,10046.2982,,2468.8937,850.2674,3249.4491,1510.6446,,1527.6009,7259.8639
2012,7480.8835,803.1747,9401.703,1390.0497,6844.5688,15881.5391,967.1755,594.2695,1849.8126,2093.9864,962.9852,1430.9649,2035.1488,9407.7867,205.8022,2169.8724,780.0769,3168.5535,1481.915,656.9432,1555.5182,7535.1426
2011,8692.0897,684.7815,9233.9373,1337.0997,6805.3152,15849.909,920.8369,580.7926,1836.6675,2244.0424,962.0185,1339.0873,2057.497,9415.7774,193.4823,2157.5346,767.5903,3424.2172,1571.6007,683.5903,1633.7514,7485.8148
2010,12477.0718,615.5911,7339.2133,1069.3424,7034.6331,14966.804,601.7496,583.5245,1724.6371,2343.7299,960.5584,1278.4179,1895.9047,9328.9973,204.1336,1789.7879,712.5849,3433.7753,1704.8633,285.7425,1126.9198,7657.2924
2009,14307.3166,608.1062,8352.7202,780.0073,6967.2993,14607.6971,461.2224,715.2646,1614.3249,2216.6023,912.7578,1157.7848,1724.0529,8606.7279,207.3662,1653.2857,635.4705,2808.159,1784.2901,595.9871,1478.8809,7241.4507
2008,14526.601,580.0554,8203.6162,858.1954,6787.8619,14465.2286,662.5808,692.5424,1513.0506,1997.0502,836.4514,947.1594,1588.5,8151.3892,206.6522,1489.6607,545.7997,2466.9045,1927.4924,533.8742,1516.8678,6365.902
2007,13109.7788,533.93,7648.0,808.6048,6003.2302,13274.0304,647.0697,628.6291,1438.94,1854.0315,731.9971,785.0697,1390.2624,7200.7755,150.4046,1465.8263,551.5309,2476.0365,1907.3699,462.7352,1585.8245,5627.2027
2006,12785.6995,538.0806,6042.5324,758.2581,5285.5809,13122.9162,594.3264,621.7232,1428.3493,1873.905,651.9041,651.3978,1197.1056,6794.7017,127.0718,1322.2449,382.7613,2784.1416,1949.7449,285.9502,1554.5958,7830.3596
2005,10892.0,453.0,6118.0,696.0,4661.0,12634.0,577.0,571.0,1492.0,1635.0,559.0,563.0,1264.0,6122.0,89.0,1185.0,355.0,2449.0,1871.0,301.0,1446.0,8465.0
2004,10562.0,395.0,6071.0,714.0,4380.0,12814.0,875.0,556.0,1741.0,1604.0,546.0,533.0,1407.0,5365.0,95.0,1105.0,375.0,2361.0,1817.0,476.0,1394.0,8274.0
2003,8946.0,284.0,5222.0,644.0,3717.0,11510.0,698.0,453.0,1601.0,1404.0,614.0,489.0,1166.0,4507.0,78.0,958.0,393.0,2037.0,1583.0,408.0,1159.0,7561.0
2002,9260.0,288.0,5496.0,654.0,3785.0,10869.0,814.0,491.0,1800.0,1575.0,655.0,541.0,1245.0,4759.0,74.0,1055.0,413.0,2074.0,1586.0,387.0,1203.0,8514.0
2001,,286.0,12653.0,,4209.0,14352.0,1057.0,292.0,,1606.0,,,,3791.0,,1424.0,,,,,807.0,
2000,,276.0,5307.0,,3858.0,14222.0,1002.0,275.0,,1620.0,,,,3822.0,,1482.0,,,,,1155.0,
