年份,京哈线货运量,京广线货运量,京沪线货运量,京九线货运量,京包线货运量,滨洲线货运量,滨绥线货运量,大秦线货运量,石太线货运量,石德线货运量,北同蒲线货运量,南同蒲线货运量,包兰线货运量,新石线货运量,太焦线货运量,焦柳线货运量,胶济线货运量,陇海线货运量,沪昆线货运量,宝成线货运量,南昆线货运量,成昆线货运量,兰新线货运量,青藏线货运量
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,
2014,1006.5085,5965.9376,4993.3427,3851.6762,14598.8119,7091.2375,901.5782,2782.2615,5865.0355,477.6967,18455.8132,5359.3825,6785.7568,5616.712,7061.8826,2775.2013,1061.5233,6393.5726,5997.6589,719.1812,1432.0636,3281.6155,4821.2301,2714.5959
2013,1178.2121,6921.7433,5470.6861,4130.7022,14765.8308,7258.9489,1252.9931,2713.0254,5772.09,510.3777,17824.454,5678.7965,8444.7884,6537.0009,6995.7034,3155.7931,1219.1666,6530.2515,6737.5138,755.9025,1617.4482,3481.7896,5259.5959,2481.2568
2012,1253.0,7085.0,5740.0,4163.0,14216.0,7518.0,1429.0,2731.0,5871.0,663.0,17612.0,5537.0,8808.0,6382.0,6946.0,3330.0,1015.0,6278.0,7274.0,804.0,1614.0,3233.0,5210.0,2538.0
2011,1408.0,7413.0,5733.0,4170.0,13231.0,7127.0,1623.0,2730.0,5985.0,575.0,16271.0,5553.0,10039.0,6313.0,6910.0,3894.0,1194.0,9207.0,8185.0,842.0,2033.0,3236.0,5282.0,2228.7839
2010,1451.0,6954.0,5439.0,3697.0,8288.0,5665.0,1463.0,2074.0,6252.0,413.0,14471.0,5527.0,10697.0,5507.0,6765.0,4067.0,1238.0,8735.0,8800.0,719.0,2052.0,2875.0,3239.0699,2620.0
2009,1374.0,6362.0,5317.0,3687.0,5975.0,4580.0,1419.0,1139.0,5971.0,379.0,12350.0,4960.0,8777.0,5487.0,6297.0,4114.0,1276.0,8359.0,8290.0,732.0,1590.0,2725.0,2783.0,2130.0
2008,1496.0,6564.0,5518.0,3932.0,5380.0,3964.0,1235.0,2241.0,5901.0,500.0,14895.0,5824.0,7687.0,4457.0,6189.0,4123.0,1638.0,7785.0,8467.0,841.0,1652.0,2777.0,2718.0,1831.0
2007,1526.0,7012.0,5700.0,3778.0,4514.0,3642.0,963.0,1948.0,5765.0,552.0,15583.0,6285.0,6860.0,4091.0,5878.0,4000.0,1656.0,7380.0,8960.0,1005.0,1573.0,2800.0,2715.0,1286.0
2006,,6784.0,,3929.0,3715.0,5439.0,1685.0,1007.0,5366.0,668.0,,,6024.0,3697.0,,,1569.0,7474.0,,1182.0,,2589.0,4696.0,871.0
2005,,6789.0,,3747.0,3119.0,4685.0,1646.0,881.0,5120.0,602.0,,,5010.0,3760.0,,,1819.0,7212.0,,1224.0,,2369.0,4231.0,834.0
2004,8274.0,7264.0,,3882.0,4865.0,3980.0,1364.0,607.0,4457.0,408.0,,,5253.0,3153.0,,,2039.0,6940.0,,1358.0,,2259.0,3570.0,942.0
2003,,6998.0,,3265.0,5859.0,3464.0,1245.0,347.0,3974.0,373.0,,,4278.0,2955.0,,,1890.0,6677.0,,1254.0,,1981.0,3558.0,764.0
2002,,7187.0,,2644.0,5881.0,3137.0,1178.0,416.0,3760.0,379.0,,,3817.0,2728.0,,,3762.0,6357.0,,988.0,,1903.0,3366.0,707.0
2001,,7623.0,,2589.0,5501.0,2841.0,1124.0,477.0,3624.0,403.0,,,,2101.0,,,3679.0,5936.0,,704.0,,3280.0,3895.0,
2000,,7385.0,,1404.0,5163.0,2772.0,1123.0,443.0,3441.0,382.0,,,,1708.0,,,3311.0,5400.0,,743.0,,3110.0,4063.0,
