年份,保险公司赔款及给付,财产保险公司赔款及给付,企业财产保险赔款及给付,家庭财产保险赔款及给付,机动车辆保险赔款及给付,财产保险公司工程保险赔款及给付,财产保险公司责任保险赔款及给付,财产保险公司信用保险赔款及给付,财产保险公司保证保险赔款及给付,财产保险公司船舶保险赔款及给付,财产保险公司货物运输保险赔款及给付,财产保险公司特殊风险保险赔款及给付,财产保险公司农业保险赔款及给付,财产保险公司健康险赔款及给付,财产保险公司意外伤害保险赔款及给付,财产保险公司其他险赔款及给付,人寿保险公司赔款及给付,人寿保险公司寿险赔款及给付,人寿保险公司健康险赔款及给付,人寿保险公司人身意外伤害险赔款及给付
2019,12893.9,7278.7,237.025812,36.666062,4613.382178,67.555146,341.687385,113.412643,376.710681,35.155142,69.742489,39.465905,527.866585,623.403547,153.633099,42.947703,5615.1,3742.944243,1728.077839,144.029369
2018,12297.0026651788,6455.0094107478,242.8963345964,34.6048785716,4401.9366822301,54.1871796045,265.25323918,127.9256528892,234.5712363261,38.3119437391,67.5829535822,20.1032206011,394.3108003917,434.0978411709,123.7857695224,15.4416783425,5841.993254431,4388.2922028127,1309.7846840299,143.9163675884
2017,11181.0,5497.0,225.5,25.4,3937.9,47.3,201.2,94.7,77.8,34.8,62.2,29.0,333.4,309.0,100.7,16.8,5682.1,4572.6,986.5,122.9
2016,10515.68,5045.6,266.16,23.6,3648.1,45.35,166.23,91.47,65.11,36.74,55.28,17.53,299.24,234.63,81.5,14.66,5469.5,4601.95,764.98,102.48
2015,8674.0,4448.0,216.4,16.8,3335.6,36.6,129.3,45.1,63.7,33.4,46.2,19.1,237.1,188.0,66.2,15.0,4226.0,3565.2,575.0,85.6
2014,7216.0,3968.0,215.22,11.46,3026.74,35.01,107.72,57.7,29.05,33.58,43.68,12.91,205.8,124.84,55.21,9.36,3248.0,2728.43,446.31,73.21
2013,6213.0,3556.0,213.65,17.2,2719.83,29.7,89.21,69.64,16.52,28.74,42.78,15.85,194.94,72.97,44.09,1.1,2657.0,2253.13,338.16,65.41
2012,4716.0,2897.0,165.03,10.64,2247.57,26.34,75.14,67.56,9.3,30.51,40.46,11.51,131.34,44.87,35.72,0.95,1819.0,1505.02,253.3,61.08
2011,3929.0,2249.0,129.44,6.06,1750.92,27.21,57.07,56.83,3.83,27.31,34.79,11.02,81.78,32.91,29.32,0.69,1680.0,1300.93,326.75,52.52
2010,3200.0,1815.0,117.2,6.4,1375.8,18.6,44.0,31.2,2.5,23.8,28.9,11.5,96.0,31.1,28.1,0.2,1385.0,1109.0,232.9,43.3
2009,3125.0,1638.0,127.6,5.8,1200.7,17.2,38.9,31.1,4.6,19.2,26.2,9.0,95.2,34.2,28.2,0.2,1487.0,1268.7,182.9,35.7
2008,2971.0,1475.0,176.15,7.36,1046.53,13.83,33.08,17.02,5.13,13.41,27.83,13.11,64.14,28.66,28.48,0.74,1496.0,1314.98,146.62,34.09
2007,2265.0,1064.0,100.78,3.46,790.32,9.77,26.25,2.42,8.19,13.72,23.14,12.48,29.75,10.0,33.29,0.19,1201.0,1064.45,106.87,30.14
2006,1438.0,825.0,92.258386,3.159225,599.152268,9.256946,22.287739,13.126218,14.913445,11.787629,20.959097,2.384242,5.90874,4.631799,23.75977,0.930238,614.0,465.406464,120.462002,27.907738
2005,1130.0,691.0,92.0,3.0,483.0,13.0,18.0,10.0,15.0,10.0,20.0,1.0,6.0,3.0,16.0,1.0,439.0,311.0,107.0,28.0
2004,1004.0,582.0,69.0,3.0,416.0,,18.0,10.0,2.0,9.0,16.0,,3.0,,,26.0,422.0,308.0,88.0,30.0
2003,841.0,476.0,63.7661653161682,3.6415906049,328.47135176938,,20.0229712673333,8.4092366404,0.63354367539607,10.792441143488,17.4611377532061,,3.452042,,,14.57,365.0,264.15,69.9,30.65
2002,707.0,403.0,56.0,4.0,271.0,,16.0,8.0,2.0,9.0,16.0,,4.0,,,11.0,304.0,229.0,49.0,26.0
2001,597.0,333.0,56.0,4.0,218.0,,12.0,2.0,1.0,9.0,16.0,,3.0,,,9.0,264.0,201.0,13.0,50.0
2000,526.0,308.0,51.0,4.0,203.0,,11.0,1.0,1.0,9.0,16.0,,3.0,,,5.0,218.0,174.0,12.0,32.0
