年份,货币当局总资产,货币当局国外资产,货币当局外汇,货币当局货币黄金,货币当局其他国外资产,货币当局对政府债权,货币当局对存款货币银行债权,货币当局对其他金融性公司债权,货币当局对非金融性公司债权,货币当局其他资产,货币当局总负债,货币当局储备货币,货币当局储备货币发行,货币当局金融性公司存款,货币当局存款货币银行存款,货币当局其他金融性公司存款,货币当局不计入储备货币的金融性公司存款,货币当局发行债券,货币当局国外负债,货币当局政府存款,货币当局自有资金,货币当局其他负债
2019,371130.482922144,218638.724929887,212317.261957516,2855.6269598502,3465.8360125211,15250.2449932896,117748.859823085,4623.3934824393,,14869.2596934432,371130.482922144,324174.953162974,82859.053801,,226023.855951217,,4574.3965112,1020,841.7656600665,32415.1300757925,219.7520266321,7884.4854854802
2018,372492.1,217648.1,212556.7,2569.8,2521.6,15250.2,111517.5,4642.6,27.8,23405.8,372492.1,330956.5,79145.5,,235511.2,,4016.3,200,1164.5,28224.7,219.8,7710.2
2017,362931.61710907,221164.123902008,214788.332810253,2541.4988403522,3834.2922514027,15274.0919803581,102230.354504088,5986.6217899216,101.945085534,18174.4798471602,362931.61710907,321870.76381857,77073.579591,,243802.282507463,,5019.2266391006,,880.0039997565,28626.0257519569,219.7520266321,6315.8448730546
2016,343711.58573041,229795.769432074,219425.262964438,2541.4988403522,7829.007627284,15274.0919803581,84739.0201757273,6324.4149630395,81.029536175,7497.2596430362,343711.58573041,308979.610148406,74884.438231,,234095.171917406,,6485.0304966434,500,3195.0727284677,25062.7032661976,219.7520266321,-730.5829359368
2015,317836.97,253830.67,248537.59,2329.54,2963.55,15312.73,26626.36,6656.59,71.74,15338.87,317836.97,276377.49,69885.95,,206491.55,,2826.42,6572,1807.28,27179.03,219.75,2855.0
2014,338248.793180202,278622.853508786,270681.33375779,669.84,7271.6797509963,15312.7339875924,24985.2736425067,7848.8133537825,11.6221752734,11467.4965122602,338248.793180201,294093.015651895,67151.278031,,226941.737620895,,1558.3528956708,6522,1833.8258403305,31275.3321869952,219.7520266321,2746.5145786773
2013,317278.553151553,272233.53364845,264270.037358725,669.84,7293.6562897254,15312.7339875924,13147.8955889151,8907.3591059033,24.9893339719,7652.0414867199,317278.553151553,271023.093461511,64980.928351,,206042.165110511,,1330.2729684252,7762,2088.2688902968,28610.6000145296,219.7520266321,6244.5657901582
2012,294537.186491844,241416.896291418,236669.931019835,669.84,4077.1252715827,15313.6871362226,16701.082944336,10038.6249025916,24.9893339719,11041.9058833044,294537.186491844,252345.169202519,60645.965831,,191699.203371519,,1348.8473406409,13880,1464.2396097341,20753.2653693271,219.7520266321,4525.9129429912
2011,280977.596652355,237898.060670305,232388.728254166,669.84,4839.4924161391,15399.7312477342,10247.5399982162,10643.9666173637,24.9893339719,6763.3087847638,280977.596652355,224641.755198046,55850.071061,,168791.684137046,,908.3653783659,23336.657,2699.4377338759,22733.6607015687,219.7520266321,6437.9686138666
2010,259274.889896926,215419.6,206766.707298784,669.84,7983.0560545984,15421.1108719534,9485.7,11325.8070174142,24.9893339719,7597.6746692942,259274.889896926,185311.080994803,48646.020411,136665.060583803,136480.86185305,184.2,657.2,40497.2309,720.0806154808,24277.3213707614,219.7520266321,7592.2338347257
2009,227535.016121467,185333.0,175154.585311569,669.84,9508.5738892919,15661.971867184,7161.9167666589,11530.1458481665,43.9573339719,7804.0251046249,227535.016121467,143985.0,41555.8,102429.2,102280.673041601,148.5228928495,624.7748441316,42064.2079,761.7249265783,21226.355023119,219.7520266321,18653.2031055556
2008,207095.99,162543.52,149624.26,337.24,12582.02,16195.99,8432.5,11852.66,44.12,8027.2,207095.99,129222.33,37115.76,92106.57,91894.72,211.85,591.2,45779.83,732.59,16963.84,219.75,13586.45
2007,169139.8,124825.18,115168.71,337.24,9319.23,16317.71,7862.8,12972.34,63.59,7098.18,169139.8,101545.4,32971.58,68415.86,68094.84,321.02,,34469.13,947.28,17121.1,219.75,14837.14
2006,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,
